selected_rank,importance,theme,subtheme,selection_reason,paperId,title,year,citationCount,seed_overlap_count,relevance_score,relation_summary,relation,source_seed_titles,query_ids,focus_areas,url,doi,arxiv,venue,authors,abstract
30,Curated,Multi-Agent Social Simulation and Synthetic Societies,"Social networks, movements, and polarization",Political-discourse social-media persona dataset for evaluating LLM agents.,697b6711620220791955ea0e41b24f534638bfff,BluePrint: A Social Media User Dataset for LLM Persona Evaluation and Training,2025,5,,,,,,simulation-001,Multi-Agent Social Simulation and Synthetic Societies,https://www.semanticscholar.org/paper/697b6711620220791955ea0e41b24f534638bfff,10.48550/arXiv.2510.02343,2510.02343,arXiv.org,Aurélien Bück-Kaeffer; Je Qin Chooi; Dan Zhao; M. P. Touzel; Kellin Pelrine; J. Godbout; Reihaneh Rabbany; Zachary Yang,"Large language models (LLMs) offer promising capabilities for simulating social media dynamics at scale, enabling studies that would be ethically or logistically challenging with human subjects. However, the field lacks standardized data resources for fine-tuning and evaluating LLMs as realistic social media agents. We address this gap by introducing SIMPACT, the SIMulation-oriented Persona and Action Capture Toolkit, a privacy respecting framework for constructing behaviorally-grounded social media datasets suitable for training agent models. We formulate next-action prediction as a task for training and evaluating LLM-based agents and introduce metrics at both the cluster and population levels to assess behavioral fidelity and stylistic realism. As a concrete implementation, we release BluePrint, a large-scale dataset built from public Bluesky data focused on political discourse. BluePrint clusters anonymized users into personas of aggregated behaviours, capturing authentic engagement patterns while safeguarding privacy through pseudonymization and removal of personally identifiable information. The dataset includes a sizable action set of 12 social media interaction types (likes, replies, reposts, etc.), each instance tied to the posting activity preceding it. This supports the development of agents that use context-dependence, not only in the language, but also in the interaction behaviours of social media to model social media users. By standardizing data and evaluation protocols, SIMPACT provides a foundation for advancing rigorous, ethically responsible social media simulations. BluePrint serves as both an evaluation benchmark for political discourse modeling and a template for building domain specific datasets to study challenges such as misinformation and polarization."
31,Watchlist,Multi-Agent Social Simulation and Synthetic Societies,Synthetic populations and human samples,General digital-twin benchmark retained only as watchlist pending stronger political/public-opinion linkage.,7159179a83cbcdd2e86492849d984e0d78bde214,TwinVoice: A Multi-dimensional Benchmark Towards Digital Twins via LLM Persona Simulation,2025,5,,,,,,simulation-001,Multi-Agent Social Simulation and Synthetic Societies,https://www.semanticscholar.org/paper/7159179a83cbcdd2e86492849d984e0d78bde214,10.48550/arXiv.2510.25536,2510.25536,arXiv.org,Bangde Du; Minghao Guo; Songming He; Ziyi Ye; Xi Zhu; Weihang Su; Shuqi Zhu; Yujia Zhou; Yongfeng Zhang; Qingyao Ai; Yiqun Liu,"Large Language Models (LLMs) are exhibiting emergent human-like abilities and are increasingly envisioned as the foundation for simulating an individual's communication style, behavioral tendencies, and personality traits. However, current evaluations of LLM-based persona simulation remain limited: most rely on synthetic dialogues, lack systematic frameworks, and lack analysis of the capability requirement. To address these limitations, we introduce TwinVoice, a comprehensive benchmark for assessing persona simulation across diverse real-world contexts. TwinVoice encompasses three dimensions: Social Persona (public social interactions), Interpersonal Persona (private dialogues), and Narrative Persona (role-based expression). It further decomposes the evaluation of LLM performance into six fundamental capabilities, including opinion consistency, memory recall, logical reasoning, lexical fidelity, persona tone, and syntactic style. Experimental results reveal that while advanced models achieve moderate accuracy in persona simulation, they still fall short of capabilities such as syntactic style and memory recall. Consequently, the average performance achieved by LLMs remains considerably below the human baseline."
32,Curated,Multi-Agent Social Simulation and Synthetic Societies,Synthetic populations and human samples,Voting-outcome synthetic-data reliability paper with direct political-simulation relevance.,faa8a53ae9f057bae56e0342d55231661e9cbfe5,Human Preferences in Large Language Model Latent Space: A Technical Analysis on the Reliability of Synthetic Data in Voting Outcome Prediction,2025,4,,,,citation,"Generative Agent Simulations of 1,000 People",,,https://www.semanticscholar.org/paper/faa8a53ae9f057bae56e0342d55231661e9cbfe5,10.48550/arXiv.2502.16280,2502.16280,arXiv.org,Sarah Ball; Simeon Allmendinger; Frauke Kreuter; Niklas Kühl,"Generative AI (GenAI) is increasingly used in survey contexts to simulate human preferences. While many research endeavors evaluate the quality of synthetic GenAI data by comparing model-generated responses to gold-standard survey results, fundamental questions about the validity and reliability of using LLMs as substitutes for human respondents remain. Our study provides a technical analysis of how demographic attributes and prompt variations influence latent opinion mappings in large language models (LLMs) and evaluates their suitability for survey-based predictions. Using 14 different models, we find that LLM-generated data fails to replicate the variance observed in real-world human responses, particularly across demographic subgroups. In the political space, persona-to-party mappings exhibit limited differentiation, resulting in synthetic data that lacks the nuanced distribution of opinions found in survey data. Moreover, we show that prompt sensitivity can significantly alter outputs for some models, further undermining the stability and predictiveness of LLM-based simulations. As a key contribution, we adapt a probe-based methodology that reveals how LLMs encode political affiliations in their latent space, exposing the systematic distortions introduced by these models. Our findings highlight critical limitations in AI-generated survey data, urging caution in its use for public opinion research, social science experimentation, and computational behavioral modeling."
33,Curated,Multi-Agent Social Simulation and Synthetic Societies,Synthetic populations and human samples,"Personalized LLM survey simulation using social-media data, but not explicitly political enough for Important.",ab87cc241525ec11e238f2fef25239287e8360d1,Surveying with AI: Simulating Human Responses Using Personalized LLM Agents and Social Media Data,2025,0,,,,,,simulation-001; simulation-002,Multi-Agent Social Simulation and Synthetic Societies,https://www.semanticscholar.org/paper/ab87cc241525ec11e238f2fef25239287e8360d1,10.1109/SMC58881.2025.11343347,,"IEEE International Conference on Systems, Man and Cybernetics",Shuxi Liang; Haolin Ren; Tianze Zhang; Xiaofa Liu; Zhimeng Yin; Daning Hu,"Survey research is a vital tool for understanding human opinions, behaviors, and preferences, but traditional methods face challenges such as high operational costs, limited sample diversity, and privacy concerns. Large Language Model (LLM)-based agents offer a novel approach to simulate human responses, generating high-quality synthetic data that preserves privacy while enabling researchers to explore patterns in public opinions. Our study introduces a flexible LLM-based survey simulation platform, which personalizes responses using real-world social media data to enhance realism and relevance. We conducted a validation case study using data from Steemit users, comparing the personalized simulated responses generated by LLM agents with actual survey responses collected from these users. This comparative analysis revealed key differences and potential biases, providing insights for refining survey methodologies. Personalized LLM simulations were highly effective for factual questions but faced limitations with subjective topics, often demonstrating lower variance compared to human responses. The quality of social media data and careful model selection also significantly influenced the accuracy of simulations. Our platform enables social science researchers to explore new methodologies for survey design, pre-test the impact of framing, and interact dynamically with LLM agents at reduced cost. This work provides valuable insights into the use of LLM-based agents for enhancing survey research, supporting their application in social science."
34,Curated,"Policymaking, Governance, and Institutional Decision Support",Strategic and institutional decision support,Policy-simulation case study for vaccine hesitancy with generative agents.,96e60d784c44c95669c36c0aee3c300c7d492833,Can A Society of Generative Agents Simulate Human Behavior and Inform Public Health Policy? A Case Study on Vaccine Hesitancy,2025,16,,,,citation,"Generative Agent Simulations of 1,000 People",,,https://www.semanticscholar.org/paper/96e60d784c44c95669c36c0aee3c300c7d492833,10.48550/arXiv.2503.09639,2503.09639,arXiv.org,A. Hou; Hongru Du; Yichen Wang; Jingyu (Jack) Zhang; Zixiao Wang; P. Liang; Daniel Khashabi; Lauren Gardner; Tianxing He,"Can we simulate a sandbox society with generative agents to model human behavior, thereby reducing the over-reliance on real human trials for assessing public policies? In this work, we investigate the feasibility of simulating health-related decision-making, using vaccine hesitancy, defined as the delay in acceptance or refusal of vaccines despite the availability of vaccination services (MacDonald, 2015), as a case study. To this end, we introduce the VacSim framework with 100 generative agents powered by Large Language Models (LLMs). VacSim simulates vaccine policy outcomes with the following steps: 1) instantiate a population of agents with demographics based on census data; 2) connect the agents via a social network and model vaccine attitudes as a function of social dynamics and disease-related information; 3) design and evaluate various public health interventions aimed at mitigating vaccine hesitancy. To align with real-world results, we also introduce simulation warmup and attitude modulation to adjust agents'attitudes. We propose a series of evaluations to assess the reliability of various LLM simulations. Experiments indicate that models like Llama and Qwen can simulate aspects of human behavior but also highlight real-world alignment challenges, such as inconsistent responses with demographic profiles. This early exploration of LLM-driven simulations is not meant to serve as definitive policy guidance; instead, it serves as a call for action to examine social simulation for policy development."
35,Curated,Multi-Agent Social Simulation and Synthetic Societies,Synthetic populations and human samples,Validation framework for generative agent-based models of social norm enforcement.,61e2e9cef0f883e517583273af02fbbcea8c3f37,Validating Generative Agent-Based Models of Social Norm Enforcement: From Replication to Novel Predictions,2025,2,,,,citation,"Generative Agent Simulations of 1,000 People",,,https://www.semanticscholar.org/paper/61e2e9cef0f883e517583273af02fbbcea8c3f37,10.48550/arXiv.2507.22049,2507.22049,Annual Meeting of the Cognitive Science Society,L. Cross; Nick Haber; Daniel L. K. Yamins,"As large language models (LLMs) advance, there is growing interest in using them to simulate human social behavior through generative agent-based modeling (GABM). However, validating these models remains a key challenge. We present a systematic two-stage validation approach using social dilemma paradigms from psychological literature, first identifying the cognitive components necessary for LLM agents to reproduce known human behaviors in mixed-motive settings from two landmark papers, then using the validated architecture to simulate novel conditions. Our model comparison of different cognitive architectures shows that both persona-based individual differences and theory of mind capabilities are essential for replicating third-party punishment (TPP) as a costly signal of trustworthiness. For the second study on public goods games, this architecture is able to replicate an increase in cooperation from the spread of reputational information through gossip. However, an additional strategic component is necessary to replicate the additional boost in cooperation rates in the condition that allows both ostracism and gossip. We then test novel predictions for each paper with our validated generative agents. We find that TPP rates significantly drop in settings where punishment is anonymous, yet a substantial amount of TPP persists, suggesting that both reputational and intrinsic moral motivations play a role in this behavior. For the second paper, we introduce a novel intervention and see that open discussion periods before rounds of the public goods game further increase contributions, allowing groups to develop social norms for cooperation. This work provides a framework for validating generative agent models while demonstrating their potential to generate novel and testable insights into human social behavior."
36,Curated,Multi-Agent Social Simulation and Synthetic Societies,"Social networks, movements, and polarization",Calibrated LLM-agent simulation of controversial online political conversations.,8d8cc9484b6b2d63ba00b3fd4a7c777a514d798f,Simulating Online Social Media Conversations on Controversial Topics Using AI Agents Calibrated on Real-World Data,2025,1,,,,citation,"Generative Agent Simulations of 1,000 People",,,https://www.semanticscholar.org/paper/8d8cc9484b6b2d63ba00b3fd4a7c777a514d798f,10.48550/arXiv.2509.18985,2509.18985,arXiv.org,Elisa Composta; Nicoló Fontana; Francesco Corso; Francesco Pierri,"Online social networks offer a valuable lens to analyze both individual and collective phenomena. Researchers often use simulators to explore controlled scenarios, and the integration of Large Language Models (LLMs) makes these simulations more realistic by enabling agents to understand and generate natural language content. In this work, we investigate the behavior of LLM-based agents in a simulated microblogging social network. We initialize agents with realistic profiles calibrated on real-world online conversations from the 2022 Italian political election and extend an existing simulator by introducing mechanisms for opinion modeling. We examine how LLM agents simulate online conversations, interact with others, and evolve their opinions under different scenarios. Our results show that LLM agents generate coherent content, form connections, and build a realistic social network structure. However, their generated content displays less heterogeneity in tone and toxicity compared to real data. We also find that LLM-based opinion dynamics evolve over time in ways similar to traditional mathematical models. Varying parameter configurations produces no significant changes, indicating that simulations require more careful cognitive modeling at initialization to replicate human behavior more faithfully. Overall, we demonstrate the potential of LLMs for simulating user behavior in social environments, while also identifying key challenges in capturing heterogeneity and complex dynamics."
37,Curated,"Politics, Democracy, Public Opinion, and Persuasion","Public opinion, polling, and political annotation",Adaptive political-survey paper using GPT-4 generated interaction data.,1d1097d378555393b73b492995121ab880fff142,Adaptive political surveys and GPT-4: Tackling the cold start problem with simulated user interactions,2025,4,,,,citation,"Generative Agent Simulations of 1,000 People",,,https://www.semanticscholar.org/paper/1d1097d378555393b73b492995121ab880fff142,10.1371/journal.pone.0322690,2503.09311,PLoS ONE,Fynn Bachmann; Daan van der Weijden; Lucien Heitz; Cristina Sarasua; Abraham Bernstein,"Adaptive questionnaires dynamically select the next question for a survey participant based on their previous answers. Due to digitalisation, they have become a viable alternative to traditional surveys in application areas such as political science. One limitation, however, is their dependency on data to train the model for question selection. Often, such training data (i.e., user interactions) are unavailable a priori. To address this problem, we (i) test whether Large Language Models (LLM) can accurately generate such interaction data and (ii) explore if these synthetic data can be used to pre-train the statistical model of an adaptive political survey. To evaluate this approach, we utilise existing data from the Swiss Voting Advice Application (VAA) Smartvote in two ways: First, we compare the distribution of LLM-generated synthetic data to the real distribution to assess its similarity. Second, we compare the performance of an adaptive questionnaire that is randomly initialised with one pre-trained on synthetic data to assess their suitability for training. We benchmark these results against an “oracle” questionnaire with perfect prior knowledge. We find that an off-the-shelf LLM (GPT-4) accurately generates answers to the Smartvote questionnaire from the perspective of different Swiss parties. Furthermore, we demonstrate that initialising the statistical model with synthetic data can (i) significantly reduce the error in predicting user responses and (ii) increase the candidate recommendation accuracy of the VAA. Our work emphasises the considerable potential of LLMs to create training data to improve the data collection process in adaptive questionnaires in LLM-affine areas such as political surveys."
38,Curated,Multi-Agent Social Simulation and Synthetic Societies,"Social networks, movements, and polarization","Large-persona benchmark for predicting social-media reactions, relevant to platform governance and democratic resilience.",2e2820837fd8fe75d5342685922d60609f6686e0,LLM Agents Predict Social Media Reactions but Do Not Outperform Text Classifiers: Benchmarking Simulation Accuracy Using 120K+ Personas of 1511 Humans,2026,0,,,,,,simulation-002,Multi-Agent Social Simulation and Synthetic Societies,https://www.semanticscholar.org/paper/2e2820837fd8fe75d5342685922d60609f6686e0,,2604.19787,,Ljubiša Bojić; Alexander Felfernig; Bojana M. Dinić; Velibor Ilić; Achim Rettinger; Vera Mevorah; Damian Trilling,"Social media platforms mediate how billions form opinions and engage with public discourse. As autonomous AI agents increasingly participate in these spaces, understanding their behavioral fidelity becomes critical for platform governance and democratic resilience. Previous work demonstrates that LLM-powered agents can replicate aggregate survey responses, yet few studies test whether agents can predict specific individuals'reactions to specific content. This study benchmarks LLM-based agents'accuracy in predicting human social media reactions (like, dislike, comment, share, no reaction) across 120,000+ unique agent-persona combinations derived from 1,511 Serbian participants and 27 large language models. In Study 1, agents achieved 70.7% overall accuracy, with LLM choice producing a 13 percentage-point performance spread. Study 2 employed binary forced-choice (like/dislike) evaluation with chance-corrected metrics. Agents achieved Matthews Correlation Coefficient (MCC) of 0.29, indicating genuine predictive signal beyond chance. However, conventional text-based supervised classifiers using TF-IDF representations outperformed LLM agents (MCC of 0.36), suggesting predictive gains reflect semantic access rather than uniquely agentic reasoning. The genuine predictive validity of zero-shot persona-prompted agents warns against potential manipulation through easily deploying swarms of behaviorally distinct AI agents on social media, while simultaneously offering opportunities to use such agents in simulations for predicting polarization dynamics and informing AI policy. The advantage of using zero-shot agents is that they require no task-specific training, making their large-scale deployment easy across diverse contexts. Limitations include single-country sampling. Future research should explore multilingual testing and fine-tuning approaches."
39,Curated,"Policymaking, Governance, and Institutional Decision Support",Strategic and institutional decision support,LLM social digital twin framework for population response to policy interventions.,063a4e8d7dbde3cd6214c1e68ce83594f5936386,LLM Powered Social Digital Twins: A Framework for Simulating Population Behavioral Response to Policy Interventions,2026,1,,,,,,simulation-001,Multi-Agent Social Simulation and Synthetic Societies,https://www.semanticscholar.org/paper/063a4e8d7dbde3cd6214c1e68ce83594f5936386,10.48550/arXiv.2601.06111,2601.06111,arXiv.org,Fatima Koaik; Aayush Gupta; Farahan Raza Sheikh,"Predicting how populations respond to policy interventions is a fundamental challenge in computational social science and public policy. Traditional approaches rely on aggregate statistical models that capture historical correlations but lack mechanistic interpretability and struggle with novel policy scenarios. We present a general framework for constructing Social Digital Twins - virtual population replicas where Large Language Models (LLMs) serve as cognitive engines for individual agents. Each agent, characterized by demographic and psychographic attributes, receives policy signals and outputs multi-dimensional behavioral probability vectors. A calibration layer maps aggregated agent responses to observable population-level metrics, enabling validation against real-world data and deployment for counterfactual policy analysis. We instantiate this framework in the domain of pandemic response, using COVID-19 as a case study with rich observational data. On a held-out test period, our calibrated digital twin achieves a 20.7% improvement in macro-averaged prediction error over gradient boosting baselines across six behavioral categories. Counterfactual experiments demonstrate monotonic and bounded responses to policy variations, establishing behavioral plausibility. The framework is domain-agnostic: the same architecture applies to transportation policy, economic interventions, environmental regulations, or any setting where policy affects population behavior. We discuss implications for policy simulation, limitations of the approach, and directions for extending LLM-based digital twins beyond pandemic response."
40,Curated,Multi-Agent Social Simulation and Synthetic Societies,"Social networks, movements, and polarization",LLM social-media public-opinion simulation framework for governance use cases.,cbf48ddb223a5fcff756ba2934616366015232b4,POSIM: A Multi-Agent Simulation Framework for Social Media Public Opinion Evolution and Governance,2026,1,,,,,,simulation-001,Multi-Agent Social Simulation and Synthetic Societies,https://www.semanticscholar.org/paper/cbf48ddb223a5fcff756ba2934616366015232b4,,2603.23884,,Yongmao Zhang; Kai Qiao; Zhengyan Wang; Ningning Liang; Dekui Ma; Wen-jie Sun; Jian Chen; Bin Yan,"Modeling social media public opinion evolution is essential for governance decision-making. Traditional epidemic models and rule-based agent-based models (ABMs) fail to capture the cognitive processes and adaptive behaviors of real users. Recent large language model (LLM)-based social simulations can reproduce group-level phenomena like polarization and conformity, yet remain unable to recreate the irrational interactions and multi-phase dynamics of real public opinion events. We present POSIM (Public Opinion Simulator), a multi-agent simulation framework for social media public opinion evolution and governance. POSIM integrates LLM-driven agents with a Belief--Desire--Intention (BDI) cognitive architecture that accounts for irrational factors, places them in a virtual social media environment with social networks and recommendation mechanisms, and drives temporal dynamics through a Hawkes point process engine that captures the co-evolution of agents and the environment across event phases. To validate the framework, we collect real-world public opinion datasets from the Weibo platform covering the full interaction chain of users. Experiments show that POSIM successfully reproduces key characteristics of public opinion evolution from individual mechanisms to collective phenomena, and its effectiveness is further supported by multiple statistical metrics. Building on POSIM, governance-oriented guidance and intervention experiments uncover a counterintuitive empathy paradox: empathetic guidance deepens negative sentiment instead of easing it under certain conditions, offering new insights for governance strategy design. These results demonstrate that the proposed framework can fully serve as a computational experimentation platform for proactive strategy evaluation and evidence-based governance. All source code is available at https://github.com/DeepCogLab/posim/."
41,Curated,"Policymaking, Governance, and Institutional Decision Support",Strategic and institutional decision support,Interactive LLM-powered social simulation system for policy reasoning under uncertainty.,64e3fdcf6c41137189752b0f50ff8f192f1e780a,WhatIf: Interactive Exploration of LLM-Powered Social Simulations for Policy Reasoning,2026,0,,,,citation,"Generative Agent Simulations of 1,000 People",,,https://www.semanticscholar.org/paper/64e3fdcf6c41137189752b0f50ff8f192f1e780a,,2604.17615,,Yuxuan Li; Kyzyl Monteiro; Hirokazu Shirado; Sauvik Das,"Policymakers in domains such as emergency management, public health, and urban planning must make decisions under deep uncertainty, where outcomes depend on how large populations interpret information, coordinate, and adopt over time. Existing tools only partially support this process: tabletop exercises enable collaborative discussion but lack dynamic feedback, while computational simulations capture population dynamics but are designed for offline analysis. We present WhatIf, an interactive system that enables policymakers to steer, inspect, and compare LLM-powered social simulations in real time. Informed by a formative study in emergency preparedness planning, we derive four design requirements for interactive policy simulations: fluid steering, real-time scale, collaborative exploration, and multi-level interpretability. We developed WhatIf guided by these requirements and evaluated it with five preparedness professionals across three disaster evacuation scenarios. Our findings show that participants used the system as a space for iterative branching and comparison rather than evaluating fixed plans; reflected on tacit planning assumptions when agent behavior violated expectations; surfaced previously unrecognized planning vulnerabilities; and grounded their reasoning in inspectable agent-level cases rather than aggregate outputs alone. These findings suggest broader design implications for LLM-powered social simulation systems: designing such systems as interactive, shared reasoning environments -- rather than offline predictive tools -- can better support expert decision-making under deep uncertainty."
