selected_rank,cluster,recommendation,theme,subtheme,selection_reason,paperId,title,year,citationCount,seed_overlap_count,relevance_score,relation_summary,source_seed_titles,url,doi,arxiv,venue,authors,abstract
21,forecasting-event,strong_candidate,"Forecasting, Geopolitical Risk, and Foresight",Forecasting benchmarks and datasets,Pastcasting benchmark for repeatable evaluation of forecasting agents.,23ceef7184f878336ab25a444b78f0331fd571de,Bench to the Future: A Pastcasting Benchmark for Forecasting Agents,2025,8,1,35.77,citation:1,ForecastBench: A Dynamic Benchmark of AI Forecasting Capabilities,https://www.semanticscholar.org/paper/23ceef7184f878336ab25a444b78f0331fd571de,10.48550/arXiv.2506.21558,2506.21558,arXiv.org,Jack Wildman; Nikos I. Bosse; Daniel Hnyk; Peter Mühlbacher; Finn Hambly; Jon Evans; Dan Schwarz; Lawrence Phillips,"Forecasting is a challenging task that offers a clearly measurable way to study AI systems. Forecasting requires a large amount of research on the internet, and evaluations require time for events to happen, making the development of forecasting benchmarks challenging. To date, no forecasting benchmark provides a realistic, hermetic, and repeatable environment for LLM forecasters. We introduce Bench To the Future (BTF), a""pastcasting""benchmark with hundreds of high-quality questions for which the resolution is already known. Each question is accompanied by a large offline corpus of tens of thousands of relevant web pages, enabling a way to elicit realistic""forecasts""on past events from LLMs. Results suggest that our pastcasting environment can produce results comparable to those based on forecasts using the internet on at-the-time unresolved questions. We show results benchmarking agent and chain-of-thought forecasting approaches using several LLMs, including the recently-released Claude 4 models, and demonstrate BTF's ability to track steady forecasting capability progress over time. We intend this to be a living benchmark, with new questions added continually to account for increasing training data cutoff dates. We invite researchers to contact us at hello@futuresearch.ai to utilize our benchmark or tooling for their own research."
22,forecasting-event,strong_candidate,"Forecasting, Geopolitical Risk, and Foresight",Forecasting performance and aggregation,Temporal reliability benchmark for agentic forecasters across prediction lifecycle.,ebdd99354e7e8768df6ec012bd4d7ae5134595ff,TimeSeek: Temporal Reliability of Agentic Forecasters,2026,0,2,33.8,citation:2,ForecastBench: A Dynamic Benchmark of AI Forecasting Capabilities | MIRAI: Evaluating LLM Agents for Event Forecasting,https://www.semanticscholar.org/paper/ebdd99354e7e8768df6ec012bd4d7ae5134595ff,,2604.04220,,Hamza Mostafa; Omkar Shastri; Dennis Lee,"We introduce TimeSeek, a benchmark for studying how the reliability of agentic LLM forecasters changes over a prediction market's lifecycle. We evaluate 10 frontier models on 150 CFTC-regulated Kalshi binary markets at five temporal checkpoints, with and without web search, for 15,000 forecasts total. Models are most competitive early in a market's life and on high-uncertainty markets, but much less competitive near resolution and on strong-consensus markets. Web search improves pooled Brier Skill Score (BSS) for every model overall, yet hurts in 12% of model-checkpoint pairs, indicating that retrieval is helpful on average but not uniformly so. Simple two-model ensembles reduce error without surpassing the market overall. These descriptive results motivate time-aware evaluation and selective-deference policies rather than a single market snapshot or a uniform tool-use setting."
23,forecasting-event,strong_candidate,"Forecasting, Geopolitical Risk, and Foresight",Forecasting performance and aggregation,Agentic forecasting system with sequential Bayesian updating and evidence summaries.,4f08618d4da746986a6346d328d1b243f9524363,Agentic Forecasting using Sequential Bayesian Updating of Linguistic Beliefs,2026,1,1,31.31,citation:1,ForecastBench: A Dynamic Benchmark of AI Forecasting Capabilities,https://www.semanticscholar.org/paper/4f08618d4da746986a6346d328d1b243f9524363,,2604.18576,,Kevin P. Murphy,"We present the Bayesian Linguistic Forecaster (BLF), an agentic system for binary forecasting that achieves state-of-the-art performance on the ForecastBench benchmark. The system is built on three ideas. (1) Linguistic belief state: a semi-structured representation combining numerical probability estimates with natural-language evidence summaries, updated by the LLM at each step of an iterative tool-use loop. This contrasts with the common approach of appending all retrieved evidence to an ever-growing, unstructured context. (2) Hierarchical multi-trial aggregation: running $K$ independent trials and combining them using logit-space averaging shrinkage with a data-dependent prior. (3) Hierarchical calibration: Platt scaling with a hierarchical prior, which avoids over-shrinking extreme predictions for sources with skewed base rates. On 400 questions from the ForecastBench leaderboard, BLF outperforms all the top public methods, including Cassi, GPT-5, Grok~4.20, and Foresight-32B. Careful ablation studies, using mixed effects analysis to control for question variability (which accounts for 62\% of the variance in performance), reveals that all 3 components contribute to the overall gains, but some components matter more than others, depending on the base LLM, and the setting (e.g.\ with or without a crowd prior). All our experiments are based on a robust back-testing framework which we develop, which has a leakage rate below 1.5\%, and may be of independent interest."
24,strategic-risk,strong_candidate,"Geopolitics, Diplomacy, National Security, and Wargaming",Diplomacy and international institutions,Direct Diplomacy-game LLM strategic decision-making paper.,81e0f65ab7e9bf411ee7d96b287f11f1db1b1624,DipLLM: Fine-Tuning LLM for Strategic Decision-making in Diplomacy,2025,6,1,56.23,citation:1,Human-level play in the game of Diplomacy by combining language models with strategic reasoning,https://www.semanticscholar.org/paper/81e0f65ab7e9bf411ee7d96b287f11f1db1b1624,10.48550/arXiv.2506.09655,2506.09655,International Conference on Machine Learning,Kaixuan Xu; Jiajun Chai; Sicheng Li; Yuqian Fu; Yuanheng Zhu; Dongbin Zhao,"Diplomacy is a complex multiplayer game that requires both cooperation and competition, posing significant challenges for AI systems. Traditional methods rely on equilibrium search to generate extensive game data for training, which demands substantial computational resources. Large Language Models (LLMs) offer a promising alternative, leveraging pre-trained knowledge to achieve strong performance with relatively small-scale fine-tuning. However, applying LLMs to Diplomacy remains challenging due to the exponential growth of possible action combinations and the intricate strategic interactions among players. To address this challenge, we propose DipLLM, a fine-tuned LLM-based agent that learns equilibrium policies for Diplomacy. DipLLM employs an autoregressive factorization framework to simplify the complex task of multi-unit action assignment into a sequence of unit-level decisions. By defining an equilibrium policy within this framework as the learning objective, we fine-tune the model using only 1.5% of the data required by the state-of-the-art Cicero model, surpassing its performance. Our results demonstrate the potential of fine-tuned LLMs for tackling complex strategic decision-making in multiplayer games."
25,strategic-risk,strong_candidate,"Geopolitics, Diplomacy, National Security, and Wargaming",Diplomacy and international institutions,Direct LLM-based AI diplomacy agent paper.,7dae752721176a5d1a2d50b951c8e7471d137195,Richelieu: Self-Evolving LLM-Based Agents for AI Diplomacy,2024,39,1,51.21,citation:1,Human-level play in the game of Diplomacy by combining language models with strategic reasoning,https://www.semanticscholar.org/paper/7dae752721176a5d1a2d50b951c8e7471d137195,10.52202/079017-3925,2407.06813,Neural Information Processing Systems,Zhenyu Guan; Xiangyu Kong; Fangwei Zhong; Yizhou Wang,"Diplomacy is one of the most sophisticated activities in human society, involving complex interactions among multiple parties that require skills in social reasoning, negotiation, and long-term strategic planning. Previous AI agents have demonstrated their ability to handle multi-step games and large action spaces in multi-agent tasks. However, diplomacy involves a staggering magnitude of decision spaces, especially considering the negotiation stage required. While recent agents based on large language models (LLMs) have shown potential in various applications, they still struggle with extended planning periods in complex multi-agent settings. Leveraging recent technologies for LLM-based agents, we aim to explore AI's potential to create a human-like agent capable of executing comprehensive multi-agent missions by integrating three fundamental capabilities: 1) strategic planning with memory and reflection; 2) goal-oriented negotiation with social reasoning; and 3) augmenting memory through self-play games for self-evolution without human in the loop."
26,strategic-risk,strong_candidate,"Geopolitics, Diplomacy, National Security, and Wargaming",Military decision-making and wargaming,Directly about evaluating LLM-generated wargaming strategies with expert-aligned scoring.,3910061e1f702c845750d5b1f7a5ac019d9546a7,Stable and Expert-Aligned Evaluation of Wargaming Strategies via Optimized LLM Scoring Agents,2025,0,1,49.0,citation:1,Human-level play in the game of Diplomacy by combining language models with strategic reasoning,https://www.semanticscholar.org/paper/3910061e1f702c845750d5b1f7a5ac019d9546a7,10.1109/ICMLCA66850.2025.11336231,,2025 6th International Conference on Machine Learning and Computer Application (ICMLCA),Shizhao Yu; Lei Cui; Shengda Liu; Kaiqi Huang,"Wargaming is a simulation tool for strategy analysis and decision-making. As large language models (LLMs) improve, they can generate strategies in simulated wargames, but scalable and reliable evaluation remains difficult. Additionally, human evaluation is costly, slow, and hard to standardize, while simple LLM agent is unstable. We develop an scoring LLM agent based on Bloom's cognitive framework. It evaluates five dimensions-factual correctness, clarity and completeness, rule compliance, logical consistency, and outcome prediction-and returns both per-dimension and overall scores. To improve reliability, we design a prompt-optimization algorithm that iteratively refines the prompt until it converges by (i) achieving consistent scores across repeated runs for the same strategy and (ii) aligning with expert ratings. Across diverse wargaming scenarios, the optimized agent produces stable, interpretable, and expert-aligned evaluation. Our method enables a standard, scalable, and robust automatic evaluation process for wargame strategies, greatly reducing the cost of large-scale benchmarking."
27,strategic-risk,strong_candidate,"Strategic Reasoning, Games, Negotiation, and Cooperation",Game-theoretic and strategic reasoning benchmarks,Uses LLMs as subjects in repeated security dilemmas and conflict/cooperation scenarios.,58b591a6b644d5c0767abff1804ed46d7b5e60d9,Multi-Agent Strategic Games with LLMs,2026,0,2,46.8,citation:2,Escalation Risks from Language Models in Military and Diplomatic Decision-Making | Human-level play in the game of Diplomacy by combining language models with strategic reasoning,https://www.semanticscholar.org/paper/58b591a6b644d5c0767abff1804ed46d7b5e60d9,,2605.03604,,Maxim Chupilkin,"This paper asks whether large language models (LLMs) can be used to study the strategic foundations of conflict and cooperation. I introduce LLMs as experimental subjects in a repeated security dilemma and evaluate whether they reproduce canonical mechanisms from international relations theory. The baseline game is extended along three theoretically central dimensions: multipolarity, finite time horizons, and the availability of communication. Across multiple models, the results exhibit systematic and consistent patterns: multipolarity increases the likelihood of conflict, finite horizons induce universal unraveling consistent with backward-induction logic, and communication reduces conflict by enabling signaling and reciprocity. Beyond observed behavior, the design provides access to agents'private reasoning and public messages, allowing choices to be linked to underlying strategic logics such as preemption, cooperation under uncertainty, and trust-building. The contribution is primarily methodological. LLM-based experiments offer a scalable, transparent, and replicable approach to probing theoretical mechanisms."
28,strategic-risk,strong_candidate,"Geopolitics, Diplomacy, National Security, and Wargaming",Military decision-making and wargaming,Direct high-stakes military intervention decision study.,5711422371477106fcb16ce63599a75a45477711,The Prompt War: How AI Decides on a Military Intervention,2025,4,2,46.49,citation:2,Escalation Risks from Language Models in Military and Diplomatic Decision-Making | Human-level play in the game of Diplomacy by combining language models with strategic reasoning,https://www.semanticscholar.org/paper/5711422371477106fcb16ce63599a75a45477711,10.48550/arXiv.2507.06277,2507.06277,arXiv.org,Maxim Chupilkin,"Which factors determine AI's propensity to support military intervention? While the use of AI in high-stakes decision-making is growing exponentially, we still lack systematic analysis of the key drivers embedded in these models. This paper conducts a conjoint experiment in which large language models (LLMs) from leading providers (OpenAI, Anthropic, Google) are asked to decide on military intervention across 128 vignettes, with each vignette run 10 times. This design enables a systematic assessment of AI decision-making in military contexts. The results are remarkably consistent across models: all models place substantial weight on the probability of success and domestic support, prioritizing these factors over civilian casualties, economic shock, or international sanctions. The paper then tests whether LLMs are sensitive to context by introducing different motivations for intervention. The scoring is indeed context-dependent; however, probability of victory remains the most important factor in all scenarios. Finally, the paper evaluates numerical sensitivity and finds that models display some responsiveness to the scale of civilian casualties but no detectable sensitivity to the size of the economic shock."
29,strategic-risk,strong_candidate,"Geopolitics, Diplomacy, National Security, and Wargaming","Conflict, escalation, and geopolitical simulation",Direct nuclear-crisis simulation and frontier-model strategic reasoning paper.,61159eaad2619f56621105de3670b54da562e340,AI Arms and Influence: Frontier Models Exhibit Sophisticated Reasoning in Simulated Nuclear Crises,2026,4,2,46.29,citation:2,Escalation Risks from Language Models in Military and Diplomatic Decision-Making | Human-level play in the game of Diplomacy by combining language models with strategic reasoning,https://www.semanticscholar.org/paper/61159eaad2619f56621105de3670b54da562e340,10.48550/arXiv.2602.14740,2602.14740,arXiv.org,K. Payne,"Today's leading AI models engage in sophisticated behaviour when placed in strategic competition. They spontaneously attempt deception, signaling intentions they do not intend to follow; they demonstrate rich theory of mind, reasoning about adversary beliefs and anticipating their actions; and they exhibit credible metacognitive self-awareness, assessing their own strategic abilities before deciding how to act. Here we present findings from a crisis simulation in which three frontier large language models (GPT-5.2, Claude Sonnet 4, Gemini 3 Flash) play opposing leaders in a nuclear crisis. Our simulation has direct application for national security professionals, but also, via its insights into AI reasoning under uncertainty, has applications far beyond international crisis decision-making. Our findings both validate and challenge central tenets of strategic theory. We find support for Schelling's ideas about commitment, Kahn's escalation framework, and Jervis's work on misperception, inter alia. Yet we also find that the nuclear taboo is no impediment to nuclear escalation by our models; that strategic nuclear attack, while rare, does occur; that threats more often provoke counter-escalation than compliance; that high mutual credibility accelerated rather than deterred conflict; and that no model ever chose accommodation or withdrawal even when under acute pressure, only reduced levels of violence. We argue that AI simulation represents a powerful tool for strategic analysis, but only if properly calibrated against known patterns of human reasoning. Understanding how frontier models do and do not imitate human strategic logic is essential preparation for a world in which AI increasingly shapes strategic outcomes."
30,strategic-risk,strong_candidate,"Geopolitics, Diplomacy, National Security, and Wargaming",Military decision-making and wargaming,Direct military crisis simulation paper focused on free-form LLM decision inconsistency.,52495428476931949de8c4a5ac67c7d9af9897a8,Measuring Free-Form Decision-Making Inconsistency of Language Models in Military Crisis Simulations,2024,10,2,42.41,citation:2,Escalation Risks from Language Models in Military and Diplomatic Decision-Making | Human-level play in the game of Diplomacy by combining language models with strategic reasoning,https://www.semanticscholar.org/paper/52495428476931949de8c4a5ac67c7d9af9897a8,10.48550/arXiv.2410.13204,2410.13204,arXiv.org,Aryan Shrivastava; Jessica Hullman; Max Lamparth,"There is an increasing interest in using language models (LMs) for automated decision-making, with multiple countries actively testing LMs to aid in military crisis decision-making. To scrutinize relying on LM decision-making in high-stakes settings, we examine the inconsistency of responses in a crisis simulation (""wargame""), similar to reported tests conducted by the US military. Prior work illustrated escalatory tendencies and varying levels of aggression among LMs but were constrained to simulations with pre-defined actions. This was due to the challenges associated with quantitatively measuring semantic differences and evaluating natural language decision-making without relying on pre-defined actions. In this work, we query LMs for free form responses and use a metric based on BERTScore to measure response inconsistency quantitatively. Leveraging the benefits of BERTScore, we show that the inconsistency metric is robust to linguistic variations that preserve semantic meaning in a question-answering setting across text lengths. We show that all five tested LMs exhibit levels of inconsistency that indicate semantic differences, even when adjusting the wargame setting, anonymizing involved conflict countries, or adjusting the sampling temperature parameter $T$. Further qualitative evaluation shows that models recommend courses of action that share few to no similarities. We also study the impact of different prompt sensitivity variations on inconsistency at temperature $T = 0$. We find that inconsistency due to semantically equivalent prompt variations can exceed response inconsistency from temperature sampling for most studied models across different levels of ablations. Given the high-stakes nature of military deployment, we recommend further consideration be taken before using LMs to inform military decisions or other cases of high-stakes decision-making."
31,strategic-risk-foundation,foundation_candidate,Political Science and Strategic Judgment Foundations,"International politics, intelligence, and crisis judgment",Non-AI foundation/methods paper for using wargaming in IR research.,972ce50bb17b167190e785b1bbe08d48a07a3a56,Wargaming for International Relations research,2021,36,1,32.64,reference:1,Escalation Risks from Language Models in Military and Diplomatic Decision-Making,https://www.semanticscholar.org/paper/972ce50bb17b167190e785b1bbe08d48a07a3a56,10.1177/13540661211064090,,European Journal of International Relations,Erik Lin-Greenberg; Reid B C Pauly; Jacquelyn G. Schneider,"Political scientists are increasingly integrating wargames into their research. Either by fielding original games or by leveraging archival wargame materials, researchers can study rare events or topics where evidence is difficult to observe. However, scholars have little guidance on how to apply this novel methodological approach to political science research. This article evaluates how political scientists can use wargames as a method of scholarly inquiry and sets out to establish a research agenda for wargaming in International Relations. We first differentiate wargames from other methodological approaches and highlight their ecological validity. We then chart out how researchers can build and run their own games or draw from archival wargames for theory development and testing. In doing so, we explain how researchers can navigate issues of recruitment, bias, validity, and generalizability when using wargames for research, and identify ways to evaluate the potential benefits and pitfalls of wargames as a tool of inquiry. We argue that wargames offer unique opportunities for political scientists to study decision-making processes both in and beyond the International Relations subfield."
32,strategic-risk-foundation,foundation_candidate,Political Science and Strategic Judgment Foundations,"International politics, intelligence, and crisis judgment",Non-AI foundation paper on conceptualizing escalation under emerging military technologies.,d2c9d39b2773231954b20b9a884d2b323d8402d9,Evaluating Escalation: Conceptualizing Escalation in an Era of Emerging Military Technologies,2023,19,1,31.91,reference:1,Escalation Risks from Language Models in Military and Diplomatic Decision-Making,https://www.semanticscholar.org/paper/d2c9d39b2773231954b20b9a884d2b323d8402d9,10.1086/723974,,Journal of Politics,Erik Lin-Greenberg,"Escalation is central to many international relations theories. Despite its cornerstone role, conceptualizing and measuring escalation has become increasingly complicated as technologies like cyber and drone warfare proliferate. Existing escalation research often fails to account for emerging technology, and studies that do are often technology specific, comparing a single “new” technology to “traditional” forces. This siloed approach overlooks variation in the means by which states use force and their relative ordering on the escalation ladder. To address this shortcoming, I introduce a means-based framework for characterizing escalation on the basis of the degree to which actions are physically present and visible. Drawing from an original survey fielded on a cross-national sample of foreign policy experts, I construct a more complete escalation ladder in which more physically present and visible actions fall at higher rungs. This ladder suggests the need for coding schemes more precise than those found in widely cited militarized dispute data sets."
33,strategic-risk,strong_candidate,"Geopolitics, Diplomacy, National Security, and Wargaming",Diplomacy and international institutions,LLM diplomatic decision-making benchmark around interests and ethical principles.,042527cf922c53bcaa831699276205a110c42fbb,DiplomacyAgent: Do LLMs Balance Interests and Ethical Principles in International Events?,2025,4,1,31.49,citation:1,Escalation Risks from Language Models in Military and Diplomatic Decision-Making,https://www.semanticscholar.org/paper/042527cf922c53bcaa831699276205a110c42fbb,10.18653/v1/2025.emnlp-main.693,,Conference on Empirical Methods in Natural Language Processing,Jianxiang Peng; Ling Shi; Xinwei Wu; Hanwen Zhang; Fujiang Liu; Haocheng Lyu; Deyi Xiong; A. Fair; Noam Bakhtin; Emily O. Brown; D' Gabriele; C. Farina; Daniel Flaherty; A. Fried; J. Goff; Hengyuan Gray; Athul Paul Hu; M. Jacob; Karthik Komeili; Minae Konath; A. Kwon; Mike Lerer; A. Lewis; S. Miller; Adithya Mitts; S. Renduchintala; Dirk Roller; W. Rowe; Joe Shi; Alexander Spisak; D. Wei; H. Wu; Zhang; Aaron Grattafiori; Abhimanyu Dubey; Abhinav Jauhri; Abhinav Pandey; Abhishek Kadian; Ahmad Al-Dahle; Aiesha Letman; Akhil Mathur; Alan Schel-ten; Alex Vaughan; Amy Yang; Angela Fan; Anirudh Goyal; A. Hartshorn; Aobo Yang; Archi Mitra; A. Sravankumar; A. Korenev; Arthur Hinsvark; Arun Rao; Aston Zhang; Aurelien Ro-driguez; Austen Gregerson; Ava Spataru; Baptiste Rozière; B. Biron; Binh Tang; Bob-bie Chern; Charlotte Caucheteux; Chaya Nayak; Chloe Bi; Chris Marra; Chris McConnell; Christian Keller; C. Touret; Chunyang Wu; C. Wong; Cristian Canton Ferrer; Cyrus Nikolaidis; Damien Al-lonsius; D. Song; D. Pintz; D. Livshits; Danny Wyatt; David Esiobu; Wyatt Hoffman; Heeu Millie Kim; Wenyue Hua; Lizhou Fan; Lingyao Li; Kai Mei; Aaron Hurst; Adam Lerer; Adam P. Goucher; Adam Perelman; Aditya Ramesh; Aidan Clark; AJ Ostrow; Akila Welihinda; Alan Hayes; Alec Radford; Aleksander M ˛adry; Alex Baker-Whitcomb; Alex Beu-tel; A. Borzunov; A. Carney; Alex Chow; Alexander Kirillov; Alex Nichol; A. Paino; Alex Renzin; Alexandre Passos; Alexi Chris-takis; Alexis Conneau; Ali Kamali; A. Jabri; Allison Moyer; Allison Tam; Amadou Crookes; Amin Tootoochian; Amin Tootoonchian; Ananya Kumar; Andrea Vallone; A. Karpathy; Andrew Braunstein; Andrew Cann; Andrew Codispoti; A. Galu; Andrew Kondrich; Andrew Tulloch; Andrey Mishchenko; Angela Baek; Angela Jiang; An-toine Pelisse; Antonia Woodford; Anuj Gosalia; Arka Dhar,","
