slug,title,year,importance,theme,subtheme,citationCount,status,text_path,text_source,text_chars,truncated_for_model,error
can-ai-do-strategy-a-dialogue-and-debate-21e1a43b97,Can AI Do Strategy? A Dialogue and Debate,2026,Watchlist,Peripheral and Borderline Materials,Business and managerial strategy,2,missing_download,,,0,False,download_missing
can-ai-mediation-improve-democratic-deliberation-7fd2ccee53,Can AI mediation improve democratic deliberation?,2026,Curated,"Policymaking, Governance, and Institutional Decision Support",Policy persuasion and democratic deliberation,0,extracted,data/paper_cache/text/can-ai-mediation-improve-democratic-deliberation-7fd2ccee53.txt,pdf_pypdf,79563,True,
can-ai-reflect-public-opinion-evidence-from-replicating-hainmueller-and-e62e432523,Can AI reflect public opinion? Evidence from replicating Hainmueller and Hopkins' immigration experiment with LLMs,2026,Watchlist,"Politics, Democracy, Public Opinion, and Persuasion","Public opinion, polling, and political annotation",0,missing_text,,html,0,False,no extractable text and no abstract
can-ai-truly-represent-your-voice-in-deliberations-a-comprehensive-8feeeeb4a3,Can AI Truly Represent Your Voice in Deliberations? A Comprehensive Study of Large-Scale Opinion Aggregation with LLMs,2025,Important,"Policymaking, Governance, and Institutional Decision Support",Policy persuasion and democratic deliberation,3,extracted,data/paper_cache/text/can-ai-truly-represent-your-voice-in-deliberations-a-comprehensive-8feeeeb4a3.txt,pdf_pypdf,81610,True,
can-language-models-use-forecasting-strategies-1f57bbe464,Can Language Models Use Forecasting Strategies?,2024,Curated,"Forecasting, Geopolitical Risk, and Foresight",Forecasting performance and aggregation,12,extracted,data/paper_cache/text/can-language-models-use-forecasting-strategies-1f57bbe464.txt,pdf_pypdf,69365,True,
can-large-language-models-transform-computational-social-science-235d985f30,Can Large Language Models Transform Computational Social Science?,2024,Core,"Foundations, Surveys, and Methods",Political science and computational social science overviews,508,extracted,data/paper_cache/text/can-large-language-models-transform-computational-social-science-235d985f30.txt,pdf_pypdf,120000,True,
causal-reasoning-and-large-language-models-for-military-decision-making-e92654d09a,Causal Reasoning and Large Language Models for Military Decision-Making: Rethinking the Command Structures in the Era of Generative AI,2026,Curated,"Geopolitics, Diplomacy, National Security, and Wargaming",Military decision-making and wargaming,0,extracted,data/paper_cache/text/causal-reasoning-and-large-language-models-for-military-decision-making-e92654d09a.txt,html,3001,False,
characterizing-the-2016-russian-ira-influence-campaign-2b4b6cef2e,Characterizing the 2016 Russian IRA influence campaign,2018,Important,"AI Safety, Influence Operations, and Societal Risk",Influence operations and persuasion risk,114,extracted,data/paper_cache/text/characterizing-the-2016-russian-ira-influence-campaign-2b4b6cef2e.txt,pdf_pypdf,48229,False,
characterizing-the-ability-of-llms-to-recapitulate-americans-distributional-resp-28638414f0,Characterizing the ability of LLMs to recapitulate Americans'distributional responses to public opinion polling questions across political issues,2026,Important,Multi-Agent Social Simulation and Synthetic Societies,Synthetic populations and human samples,0,extracted,data/paper_cache/text/characterizing-the-ability-of-llms-to-recapitulate-americans-distributional-resp-28638414f0.txt,pdf_pypdf,66775,True,
charting-the-landscape-of-nefarious-uses-of-generative-artificial-intelligence-331eec8e5e,Charting the Landscape of Nefarious Uses of Generative Artificial Intelligence for Online Election Interference,2024,Important,"AI Safety, Influence Operations, and Societal Risk",Influence operations and persuasion risk,14,extracted,data/paper_cache/text/charting-the-landscape-of-nefarious-uses-of-generative-artificial-intelligence-331eec8e5e.txt,pdf_pypdf,60744,True,
chatgpt-4-outperforms-experts-and-crowd-workers-in-annotating-political-27a4fadfa8,ChatGPT-4 Outperforms Experts and Crowd Workers in Annotating Political Twitter Messages with Zero-Shot Learning,2023,Important,"Politics, Democracy, Public Opinion, and Persuasion","Public opinion, polling, and political annotation",206,extracted,data/paper_cache/text/chatgpt-4-outperforms-experts-and-crowd-workers-in-annotating-political-27a4fadfa8.txt,pdf_pypdf,26124,False,
chbench-a-cognitive-hierarchy-benchmark-for-evaluating-strategic-reasoning-capab-3ac452dfac,CHBench: A Cognitive Hierarchy Benchmark for Evaluating Strategic Reasoning Capability of LLMs,2025,Curated,"Strategic Reasoning, Games, Negotiation, and Cooperation",Behavioral game tests and human-like strategy,0,extracted,data/paper_cache/text/chbench-a-cognitive-hierarchy-benchmark-for-evaluating-strategic-reasoning-capab-3ac452dfac.txt,pdf_pypdf,51323,True,
clausewitzgpt-framework-a-new-frontier-in-theoretical-large-language-model-41e0cbeafc,ClausewitzGPT Framework: A New Frontier in Theoretical Large Language Model Enhanced Information Operations,2023,Curated,"AI Safety, Influence Operations, and Societal Risk",Influence operations and persuasion risk,2,extracted,data/paper_cache/text/clausewitzgpt-framework-a-new-frontier-in-theoretical-large-language-model-41e0cbeafc.txt,pdf_pypdf,43724,False,
coa-gpt-generative-pre-trained-transformers-for-accelerated-course-of-420e1e099f,COA-GPT: Generative Pre-Trained Transformers for Accelerated Course of Action Development in Military Operations,2024,Curated,"Geopolitics, Diplomacy, National Security, and Wargaming",Military decision-making and wargaming,28,extracted,data/paper_cache/text/coa-gpt-generative-pre-trained-transformers-for-accelerated-course-of-420e1e099f.txt,pdf_pypdf,45915,False,
coding-with-the-machines-machine-assisted-coding-of-rare-event-6bc1130941,Coding with the machines: machine-assisted coding of rare event data,2024,Curated,Classical Political NLP and Information Extraction,Political event data and conflict information extraction,5,extracted,data/paper_cache/text/coding-with-the-machines-machine-assisted-coding-of-rare-event-6bc1130941.txt,html,6023,False,
communication-enhances-llms-stability-in-strategic-thinking-95e593c925,Communication Enhances LLMs' Stability in Strategic Thinking,2026,Watchlist,Peripheral and Borderline Materials,Generic negotiation and behavioral games,1,extracted,data/paper_cache/text/communication-enhances-llms-stability-in-strategic-thinking-95e593c925.txt,pdf_pypdf,64087,True,
computer-assisted-text-analysis-for-comparative-politics-600297407a,Computer-Assisted Text Analysis for Comparative Politics,2015,Core,Classical Political NLP and Information Extraction,Political text as data and policy-position extraction,464,extracted,data/paper_cache/text/computer-assisted-text-analysis-for-comparative-politics-600297407a.txt,pdf_pypdf,95150,True,
conflibert-a-pre-trained-language-model-for-political-conflict-and-dfe0a1e0f4,ConfliBERT: A Pre-trained Language Model for Political Conflict and Violence,2022,Curated,Classical Political NLP and Information Extraction,Political event data and conflict information extraction,42,extracted,data/paper_cache/text/conflibert-a-pre-trained-language-model-for-political-conflict-and-dfe0a1e0f4.txt,pdf_pypdf,61746,True,
conflict-and-mediation-event-observations-cameo-a-new-event-data-f3a3e155e9,Conflict and Mediation Event Observations (CAMEO): A New Event Data Framework for the Analysis of Foreign Policy Interactions,2002,Core,Classical Political NLP and Information Extraction,Political event data and conflict information extraction,189,extracted,data/paper_cache/text/conflict-and-mediation-event-observations-cameo-a-new-event-data-f3a3e155e9.txt,pdf_pypdf,88937,True,
cooperate-or-collapse-emergence-of-sustainable-cooperation-in-a-society-3a94a29f94,Cooperate or Collapse: Emergence of Sustainable Cooperation in a Society of LLM Agents,2024,Watchlist,Peripheral and Borderline Materials,Generic negotiation and behavioral games,87,extracted,data/paper_cache/text/cooperate-or-collapse-emergence-of-sustainable-cooperation-in-a-society-3a94a29f94.txt,pdf_pypdf,120000,True,
creating-a-real-time-reproducible-event-dataset-68306d1107,"Creating a Real-Time, Reproducible Event Dataset",2016,Important,Classical Political NLP and Information Extraction,Political event data and conflict information extraction,5,extracted,data/paper_cache/text/creating-a-real-time-reproducible-event-dataset-68306d1107.txt,pdf_pypdf,52889,True,
creating-custom-event-data-without-dictionaries-a-bag-of-tricks-519b8735fc,Creating Custom Event Data Without Dictionaries: A Bag-of-Tricks,2023,Important,Classical Political NLP and Information Extraction,Political event data and conflict information extraction,9,extracted,data/paper_cache/text/creating-custom-event-data-without-dictionaries-a-bag-of-tricks-519b8735fc.txt,pdf_pypdf,120000,True,
critical-foreign-policy-decisions-benchmark-measuring-diplomatic-preferences-in--09c2e4b18d,Critical Foreign Policy Decisions Benchmark: Measuring Diplomatic Preferences in Large Language Models,2025,Important,"Geopolitics, Diplomacy, National Security, and Wargaming",Diplomacy and international institutions,4,extracted,data/paper_cache/text/critical-foreign-policy-decisions-benchmark-measuring-diplomatic-preferences-in--09c2e4b18d.txt,pdf_pypdf,120000,True,
crowdsourced-versus-large-language-models-forecasting-evidence-for-the-accuracy-552c6ee4b2,Crowdsourced versus large language models forecasting: evidence for the accuracy–correlation effect,2026,Curated,"Forecasting, Geopolitical Risk, and Foresight",Forecasting performance and aggregation,1,extracted,data/paper_cache/text/crowdsourced-versus-large-language-models-forecasting-evidence-for-the-accuracy-552c6ee4b2.txt,html,5575,False,
cultural-bias-and-cultural-alignment-of-large-language-models-6ce8191637,Cultural bias and cultural alignment of large language models,2023,Important,"Politics, Democracy, Public Opinion, and Persuasion","Political ideology, representation, and bias",307,extracted,data/paper_cache/text/cultural-bias-and-cultural-alignment-of-large-language-models-6ce8191637.txt,pdf_pypdf,51435,True,
cultural-evolution-of-cooperation-among-llm-agents-7a54cc3112,Cultural Evolution of Cooperation among LLM Agents,2024,Watchlist,Peripheral and Borderline Materials,Generic negotiation and behavioral games,26,extracted,data/paper_cache/text/cultural-evolution-of-cooperation-among-llm-agents-7a54cc3112.txt,pdf_pypdf,59820,True,
datagovbench-benchmarking-llm-agents-for-real-world-data-governance-workflows-49d98676a5,DataGovBench: Benchmarking LLM Agents for Real-World Data Governance Workflows,2025,Watchlist,Peripheral and Borderline Materials,Generic decision support and human-AI workflow,2,extracted,data/paper_cache/text/datagovbench-benchmarking-llm-agents-for-real-world-data-governance-workflows-49d98676a5.txt,pdf_pypdf,111762,True,
decision-making-under-deep-uncertainty-from-theory-to-practice-063116b449,Decision Making under Deep Uncertainty: From Theory to Practice,2019,Curated,Political Science and Strategic Judgment Foundations,Policy analysis and decision-making under deep uncertainty,295,extracted,data/paper_cache/text/decision-making-under-deep-uncertainty-from-theory-to-practice-063116b449.txt,pdf_pypdf,120000,True,
decision-making-behavior-evaluation-framework-for-llms-under-uncertain-context-faa650e80e,Decision-Making Behavior Evaluation Framework for LLMs under Uncertain Context,2024,Watchlist,Peripheral and Borderline Materials,Generic negotiation and behavioral games,53,extracted,data/paper_cache/text/decision-making-behavior-evaluation-framework-for-llms-under-uncertain-context-faa650e80e.txt,pdf_pypdf,58328,True,
decoding-echo-chambers-llm-powered-simulations-revealing-polarization-in-social-ff787f49bf,Decoding Echo Chambers: LLM-Powered Simulations Revealing Polarization in Social Networks,2024,Curated,Multi-Agent Social Simulation and Synthetic Societies,"Social networks, movements, and polarization",32,extracted,data/paper_cache/text/decoding-echo-chambers-llm-powered-simulations-revealing-polarization-in-social-ff787f49bf.txt,pdf_pypdf,43039,False,
deliberationbench-a-normative-benchmark-for-the-influence-of-large-language-c176967fca,DeliberationBench: A Normative Benchmark for the Influence of Large Language Models on Users'Views,2026,Important,"Policymaking, Governance, and Institutional Decision Support",Policy persuasion and democratic deliberation,2,extracted,data/paper_cache/text/deliberationbench-a-normative-benchmark-for-the-influence-of-large-language-c176967fca.txt,pdf_pypdf,66424,True,
democracy-and-coercive-diplomacy-94c4b2aee6,Democracy and Coercive Diplomacy,2001,Important,Political Science and Strategic Judgment Foundations,"Bargaining, signaling, and war",579,extracted,data/paper_cache/text/democracy-and-coercive-diplomacy-94c4b2aee6.txt,html,14156,False,
democracy-in-silico-institutional-design-as-alignment-in-ai-governed-b642e44877,Democracy-in-Silico: Institutional Design as Alignment in AI-Governed Polities,2025,Watchlist,"Policymaking, Governance, and Institutional Decision Support",Democratic governance and augmentation,0,extracted,data/paper_cache/text/democracy-in-silico-institutional-design-as-alignment-in-ai-governed-b642e44877.txt,pdf_pypdf,40869,False,
democratic-or-authoritarian-probing-a-new-dimension-of-political-biases-f63183233d,Democratic or Authoritarian? Probing a New Dimension of Political Biases in Large Language Models,2025,Important,"Politics, Democracy, Public Opinion, and Persuasion",Multilingual and geopolitical bias,5,extracted,data/paper_cache/text/democratic-or-authoritarian-probing-a-new-dimension-of-political-biases-f63183233d.txt,pdf_pypdf,120000,True,
democratizing-diplomacy-a-harness-for-evaluating-any-large-language-model-3ca6cc3b78,Democratizing Diplomacy: A Harness for Evaluating Any Large Language Model on Full-Press Diplomacy,2025,Important,"Geopolitics, Diplomacy, National Security, and Wargaming",Diplomacy and international institutions,3,extracted,data/paper_cache/text/democratizing-diplomacy-a-harness-for-evaluating-any-large-language-model-3ca6cc3b78.txt,pdf_pypdf,68745,True,
demonstrations-of-the-potential-of-ai-based-political-issue-polling-5ef2576b6a,Demonstrations of the Potential of AI-based Political Issue Polling,2023,Curated,"Politics, Democracy, Public Opinion, and Persuasion","Public opinion, polling, and political annotation",31,extracted,data/paper_cache/text/demonstrations-of-the-potential-of-ai-based-political-issue-polling-5ef2576b6a.txt,pdf_pypdf,75750,True,
determinants-of-llm-assisted-decision-making-c02ef68f72,Determinants of LLM-assisted Decision-Making,2024,Watchlist,Peripheral and Borderline Materials,Generic decision support and human-AI workflow,108,extracted,data/paper_cache/text/determinants-of-llm-assisted-decision-making-c02ef68f72.txt,pdf_pypdf,120000,True,
digital-homunculi-and-institutional-design-breaking-through-the-experimentation--fc12dfe459,Digital Homunculi and Institutional Design: Breaking Through the Experimentation Bottleneck,2024,Watchlist,"Policymaking, Governance, and Institutional Decision Support",Democratic governance and augmentation,0,extracted,data/paper_cache/text/digital-homunculi-and-institutional-design-breaking-through-the-experimentation--fc12dfe459.txt,pdf_pypdf,102887,True,
dipllm-fine-tuning-llm-for-strategic-decision-making-in-diplomacy-2c4e614de4,DipLLM: Fine-Tuning LLM for Strategic Decision-making in Diplomacy,2025,Curated,"Geopolitics, Diplomacy, National Security, and Wargaming",Diplomacy and international institutions,6,extracted,data/paper_cache/text/dipllm-fine-tuning-llm-for-strategic-decision-making-in-diplomacy-2c4e614de4.txt,pdf_pypdf,68159,True,
diplomacyagent-do-llms-balance-interests-and-ethical-principles-in-international-3f849b23a3,DiplomacyAgent: Do LLMs Balance Interests and Ethical Principles in International Events?,2025,Curated,"Geopolitics, Diplomacy, National Security, and Wargaming",Diplomacy and international institutions,4,extracted,data/paper_cache/text/diplomacyagent-do-llms-balance-interests-and-ethical-principles-in-international-3f849b23a3.txt,pdf_pypdf,77226,True,
diversity-and-language-technology-how-language-modeling-bias-causes-epistemic-e55e368751,Diversity and language technology: how language modeling bias causes epistemic injustice,2024,Watchlist,Peripheral and Borderline Materials,Generic AI safety and language-bias background,76,extracted,data/paper_cache/text/diversity-and-language-technology-how-language-modeling-bias-causes-epistemic-e55e368751.txt,pdf_pypdf,80815,True,
do-bots-do-it-better-analyzing-the-effectiveness-of-automated-7d687de8db,Do Bots Do It Better? Analyzing the Effectiveness of Automated Agents in State-Sponsored Information Operations,2025,Important,"AI Safety, Influence Operations, and Societal Risk",Influence operations and persuasion risk,0,extracted,data/paper_cache/text/do-bots-do-it-better-analyzing-the-effectiveness-of-automated-7d687de8db.txt,pdf_pypdf,59267,True,
do-language-models-update-their-forecasts-with-new-information-ff0bee53ad,Do Language Models Update their Forecasts with New Information?,2025,Watchlist,"Forecasting, Geopolitical Risk, and Foresight",Forecasting performance and aggregation,0,extracted,data/paper_cache/text/do-language-models-update-their-forecasts-with-new-information-ff0bee53ad.txt,pdf_pypdf,58560,True,
do-large-language-models-know-conflict-investigating-parametric-vs-non-00b92dde4a,Do Large Language Models Know Conflict? Investigating Parametric vs. Non-Parametric Knowledge of LLMs for Conflict Forecasting,2025,Curated,"Geopolitics, Diplomacy, National Security, and Wargaming","Conflict, escalation, and geopolitical simulation",2,extracted,data/paper_cache/text/do-large-language-models-know-conflict-investigating-parametric-vs-non-00b92dde4a.txt,pdf_pypdf,33006,False,
do-we-still-need-people-comparing-human-and-llm-personas-983c155c01,Do we Still Need People? Comparing Human and LLM Personas in Political Modeling and Simulation,2025,Curated,Multi-Agent Social Simulation and Synthetic Societies,Synthetic populations and human samples,1,extracted,data/paper_cache/text/do-we-still-need-people-comparing-human-and-llm-personas-983c155c01.txt,html,844,False,
domestic-political-audiences-and-the-escalation-of-international-disputes-fb70efa089,Domestic Political Audiences and the Escalation of International Disputes,1994,Important,Political Science and Strategic Judgment Foundations,"Bargaining, signaling, and war",2205,extracted,data/paper_cache/text/domestic-political-audiences-and-the-escalation-of-international-disputes-fb70efa089.txt,html,19865,False,
donald-trumps-in-the-virtual-polls-simulating-and-predicting-public-33957091e2,Donald Trumps in the Virtual Polls: Simulating and Predicting Public Opinions in Surveys Using Large Language Models,2024,Curated,Multi-Agent Social Simulation and Synthetic Societies,Synthetic populations and human samples,11,extracted,data/paper_cache/text/donald-trumps-in-the-virtual-polls-simulating-and-predicting-public-33957091e2.txt,pdf_pypdf,60770,True,
echoes-of-power-investigating-geopolitical-bias-in-us-and-china-a1b5910bba,Echoes of Power: Investigating Geopolitical Bias in US and China Large Language Models,2025,Curated,"Politics, Democracy, Public Opinion, and Persuasion",Multilingual and geopolitical bias,5,extracted,data/paper_cache/text/echoes-of-power-investigating-geopolitical-bias-in-us-and-china-a1b5910bba.txt,pdf_pypdf,66101,True,
effective-and-responsible-use-of-large-language-models-in-strategic-77c990a9b5,Effective and responsible use of large language models in strategic wargaming,2026,Curated,"Geopolitics, Diplomacy, National Security, and Wargaming",Military decision-making and wargaming,0,abstract_only,data/paper_cache/text/effective-and-responsible-use-of-large-language-models-in-strategic-77c990a9b5.txt,abstract_missing_download,1399,False,download_missing; abstract fallback
electionsim-massive-population-election-simulation-powered-by-large-language-mod-5c0111ada4,ElectionSim: Massive Population Election Simulation Powered by Large Language Model Driven Agents,2024,Curated,"Politics, Democracy, Public Opinion, and Persuasion","Elections, voters, and campaign discourse",37,extracted,data/paper_cache/text/electionsim-massive-population-election-simulation-powered-by-large-language-mod-5c0111ada4.txt,pdf_pypdf,102792,True,
emergence-of-human-like-polarization-among-large-language-model-agents-cee325e3cb,Emergence of human-like polarization among large language model agents,2025,Curated,Multi-Agent Social Simulation and Synthetic Societies,"Social networks, movements, and polarization",23,extracted,data/paper_cache/text/emergence-of-human-like-polarization-among-large-language-model-agents-cee325e3cb.txt,pdf_pypdf,120000,True,
escalation-risks-from-language-models-in-military-and-diplomatic-decision-dc636af50f,Escalation Risks from Language Models in Military and Diplomatic Decision-Making,2024,Core,"Geopolitics, Diplomacy, National Security, and Wargaming",Military decision-making and wargaming,85,extracted,data/paper_cache/text/escalation-risks-from-language-models-in-military-and-diplomatic-decision-dc636af50f.txt,pdf_pypdf,120000,True,
essence-of-decision-explaining-the-cuban-missile-crisis-e4479703f6,Essence of Decision: Explaining the Cuban Missile Crisis,1971,Core,Political Science and Strategic Judgment Foundations,Intelligence analysis and structured analytic techniques,3145,extracted,data/paper_cache/text/essence-of-decision-explaining-the-cuban-missile-crisis-e4479703f6.txt,html,1934,False,
evaluating-escalation-conceptualizing-escalation-in-an-era-of-emerging-military-aac5ea190b,Evaluating Escalation: Conceptualizing Escalation in an Era of Emerging Military Technologies,2023,Curated,Political Science and Strategic Judgment Foundations,"International politics, intelligence, and crisis judgment",19,abstract_only,data/paper_cache/text/evaluating-escalation-conceptualizing-escalation-in-an-era-of-emerging-military-aac5ea190b.txt,abstract,1067,False,downloaded file had too little extractable text
evaluating-llms-on-real-world-forecasting-against-expert-forecasters-cf3818adfc,Evaluating LLMs on Real-World Forecasting Against Expert Forecasters,2025,Curated,"Forecasting, Geopolitical Risk, and Foresight",Forecasting performance and aggregation,2,extracted,data/paper_cache/text/evaluating-llms-on-real-world-forecasting-against-expert-forecasters-cf3818adfc.txt,pdf_pypdf,62519,True,
evaluating-the-persuasive-influence-of-political-microtargeting-with-large-langu-2cf83b7e3e,Evaluating the persuasive influence of political microtargeting with large language models,2024,Important,"AI Safety, Influence Operations, and Societal Risk",Influence operations and persuasion risk,116,extracted,data/paper_cache/text/evaluating-the-persuasive-influence-of-political-microtargeting-with-large-langu-2cf83b7e3e.txt,html,8553,False,
expert-political-judgment-how-good-is-it-how-can-we-f972cd5acb,Expert Political Judgment: How Good Is It? How Can We Know?,2007,Core,Political Science and Strategic Judgment Foundations,"Forecasting, hindsight bias, and expert judgment",382,extracted,data/paper_cache/text/expert-political-judgment-how-good-is-it-how-can-we-f972cd5acb.txt,html,7130,False,
exploring-large-language-models-for-communication-games-an-empirical-study-de28d4878c,Exploring Large Language Models for Communication Games: An Empirical Study on Werewolf,2023,Watchlist,Peripheral and Borderline Materials,Generic negotiation and behavioral games,287,extracted,data/paper_cache/text/exploring-large-language-models-for-communication-games-an-empirical-study-de28d4878c.txt,pdf_pypdf,107800,True,
exploring-the-bargaining-model-of-war-8d3cb58a99,Exploring the Bargaining Model of War,2003,Important,Political Science and Strategic Judgment Foundations,"Bargaining, signaling, and war",342,missing_download,,,0,False,download_missing
exposing-influence-campaigns-in-the-age-of-llms-a-behavioral-051f313c3a,Exposing influence campaigns in the age of LLMs: a behavioral-based AI approach to detecting state-sponsored trolls,2022,Curated,"AI Safety, Influence Operations, and Societal Risk",Influence operations and persuasion risk,27,extracted,data/paper_cache/text/exposing-influence-campaigns-in-the-age-of-llms-a-behavioral-051f313c3a.txt,pdf_pypdf,68357,True,
extracting-policy-positions-from-political-texts-using-words-as-data-0ce07e38d2,Extracting Policy Positions from Political Texts Using Words as Data,2003,Core,Classical Political NLP and Information Extraction,Political text as data and policy-position extraction,1353,extracted,data/paper_cache/text/extracting-policy-positions-from-political-texts-using-words-as-data-0ce07e38d2.txt,html,2549,False,
fightin-words-lexical-feature-selection-and-evaluation-for-identifying-the-e18b4e8d88,Fightin' Words: Lexical Feature Selection and Evaluation for Identifying the Content of Political Conflict,2008,Core,Classical Political NLP and Information Extraction,Political text as data and policy-position extraction,646,extracted,data/paper_cache/text/fightin-words-lexical-feature-selection-and-evaluation-for-identifying-the-e18b4e8d88.txt,pdf_pypdf,84522,True,
forecastbench-a-dynamic-benchmark-of-ai-forecasting-capabilities-ca186bd8c4,ForecastBench: A Dynamic Benchmark of AI Forecasting Capabilities,2024,Core,"Forecasting, Geopolitical Risk, and Foresight",Forecasting benchmarks and datasets,57,extracted,data/paper_cache/text/forecastbench-a-dynamic-benchmark-of-ai-forecasting-capabilities-ca186bd8c4.txt,pdf_pypdf,120000,True,
forecasting-future-international-events-a-reliable-dataset-for-text-based-3bc9bc6074,Forecasting Future International Events: A Reliable Dataset for Text-Based Event Modeling / WORLDREP,2024,Important,"Forecasting, Geopolitical Risk, and Foresight",Forecasting benchmarks and datasets,1,extracted,data/paper_cache/text/forecasting-future-international-events-a-reliable-dataset-for-text-based-3bc9bc6074.txt,pdf_pypdf,94501,True,
forecasting-future-world-events-with-neural-networks-9684e94e07,Forecasting Future World Events with Neural Networks,2022,Curated,"Forecasting, Geopolitical Risk, and Foresight",Forecasting benchmarks and datasets,45,extracted,data/paper_cache/text/forecasting-future-world-events-with-neural-networks-9684e94e07.txt,pdf_pypdf,67617,True,
framing-political-bias-in-multilingual-llms-across-pakistani-languages-b87693c744,Framing Political Bias in Multilingual LLMs Across Pakistani Languages,2025,Important,"Politics, Democracy, Public Opinion, and Persuasion",Multilingual and geopolitical bias,4,extracted,data/paper_cache/text/framing-political-bias-in-multilingual-llms-across-pakistani-languages-b87693c744.txt,pdf_pypdf,100594,True,
from-individual-to-society-a-survey-on-social-simulation-driven-d0b851d22a,From Individual to Society: A Survey on Social Simulation Driven by Large Language Model-based Agents,2024,Curated,"Foundations, Surveys, and Methods",Social simulation and agent-based modeling reviews,71,extracted,data/paper_cache/text/from-individual-to-society-a-survey-on-social-simulation-driven-d0b851d22a.txt,pdf_pypdf,120000,True,
from-pretraining-data-to-language-models-to-downstream-tasks-tracking-256400998b,From Pretraining Data to Language Models to Downstream Tasks: Tracking the Trails of Political Biases Leading to Unfair NLP Models,2023,Curated,"Politics, Democracy, Public Opinion, and Persuasion","Political ideology, representation, and bias",367,extracted,data/paper_cache/text/from-pretraining-data-to-language-models-to-downstream-tasks-tracking-256400998b.txt,pdf_pypdf,100537,True,
from-problems-to-solutions-in-strategic-decision-making-the-effects-0405b1e110,From Problems to Solutions in Strategic Decision-Making: The Effects of Generative AI on Problem Formulation,2025,Watchlist,Peripheral and Borderline Materials,Business and managerial strategy,0,missing_download,,,0,False,download_missing
from-skepticism-to-acceptance-simulating-the-attitude-dynamics-toward-fake-36419407f5,From Skepticism to Acceptance: Simulating the Attitude Dynamics Toward Fake News,2024,Curated,"Politics, Democracy, Public Opinion, and Persuasion","Deliberation, persuasion, and information environments",74,extracted,data/paper_cache/text/from-skepticism-to-acceptance-simulating-the-attitude-dynamics-toward-fake-36419407f5.txt,pdf_pypdf,42119,False,
ga-s3-comprehensive-social-network-simulation-with-group-agents-c977b649a7,GA-S3: Comprehensive Social Network Simulation with Group Agents,2025,Curated,Multi-Agent Social Simulation and Synthetic Societies,Generative agents and social simulation platforms,16,extracted,data/paper_cache/text/ga-s3-comprehensive-social-network-simulation-with-group-agents-c977b649a7.txt,pdf_pypdf,67505,True,
game-theory-meets-large-language-models-a-systematic-survey-340bf0b2e2,Game Theory Meets Large Language Models: A Systematic Survey,2024,Curated,"Foundations, Surveys, and Methods",Strategic reasoning and game-theoretic reviews,32,extracted,data/paper_cache/text/game-theory-meets-large-language-models-a-systematic-survey-340bf0b2e2.txt,pdf_pypdf,120000,True,
game-theoretic-llm-agent-workflow-for-negotiation-games-ade4b87c43,Game-theoretic LLM: Agent Workflow for Negotiation Games,2024,Watchlist,Peripheral and Borderline Materials,Generic negotiation and behavioral games,59,extracted,data/paper_cache/text/game-theoretic-llm-agent-workflow-for-negotiation-games-ade4b87c43.txt,pdf_pypdf,120000,True,
gamebench-evaluating-strategic-reasoning-abilities-of-llm-agents-b5aea77e0f,GameBench: Evaluating Strategic Reasoning Abilities of LLM Agents,2024,Curated,"Strategic Reasoning, Games, Negotiation, and Cooperation",Game-theoretic and strategic reasoning benchmarks,69,extracted,data/paper_cache/text/gamebench-evaluating-strategic-reasoning-abilities-of-llm-agents-b5aea77e0f.txt,pdf_pypdf,68823,True,
gdelt-global-data-on-events-location-and-tone-1979-2012-5e9f6cff9e,"GDELT: Global Data on Events, Location and Tone, 1979-2012",2013,Core,Classical Political NLP and Information Extraction,Political event data and conflict information extraction,n/a,missing_download,,,0,False,download_missing
generating-fair-consensus-statements-with-social-choice-on-token-level-261df0c5e5,Generating Fair Consensus Statements with Social Choice on Token-Level MDPs,2025,Curated,"Policymaking, Governance, and Institutional Decision Support",Policy persuasion and democratic deliberation,1,extracted,data/paper_cache/text/generating-fair-consensus-statements-with-social-choice-on-token-level-261df0c5e5.txt,pdf_pypdf,79547,True,
generative-agent-simulations-of-1-000-people-fbe0fcab3e,"Generative Agent Simulations of 1,000 People",2024,Core,Multi-Agent Social Simulation and Synthetic Societies,Synthetic populations and human samples,304,extracted,data/paper_cache/text/generative-agent-simulations-of-1-000-people-fbe0fcab3e.txt,pdf_pypdf,120000,True,
generative-agents-in-agent-based-modeling-overview-validation-and-emerging-73f40a8866,"Generative Agents in Agent-Based Modeling: Overview, Validation, and Emerging Challenges",2025,Curated,"Foundations, Surveys, and Methods",Social simulation and agent-based modeling reviews,9,extracted,data/paper_cache/text/generative-agents-in-agent-based-modeling-overview-validation-and-emerging-73f40a8866.txt,html,835,False,
generative-agents-interactive-simulacra-of-human-behavior-c2e265e803,Generative Agents: Interactive Simulacra of Human Behavior,2023,Important,Multi-Agent Social Simulation and Synthetic Societies,Generative agents and social simulation platforms,4046,extracted,data/paper_cache/text/generative-agents-interactive-simulacra-of-human-behavior-c2e265e803.txt,pdf_pypdf,120000,True,
generative-artificial-intelligence-and-evaluating-strategic-decisions-e861c57b35,Generative Artificial Intelligence and Evaluating Strategic Decisions,2024,Curated,Peripheral and Borderline Materials,Business and managerial strategy,119,extracted,data/paper_cache/text/generative-artificial-intelligence-and-evaluating-strategic-decisions-e861c57b35.txt,pdf_pypdf,94776,True,
