slug,title,year,importance,theme,subtheme,citationCount,status,download_url,file_path,file_type,bytes,download_reason,error,manual_path_hint,source_url,doi,arxiv
characterizing-the-ability-of-llms-to-recapitulate-americans-distributional-resp-28638414f0,Characterizing the ability of LLMs to recapitulate Americans'distributional responses to public opinion polling questions across political issues,2026,Important,Multi-Agent Social Simulation and Synthetic Societies,Synthetic populations and human samples,0,downloaded,https://arxiv.org/pdf/2603.20229,data/paper_cache/downloads/characterizing-the-ability-of-llms-to-recapitulate-americans-distributional-resp-28638414f0.pdf,pdf,690569,arxiv,,,https://www.semanticscholar.org/paper/d325f69c6ea6e829a4bb7cb8b870bddf77910ef9,,2603.20229
charting-the-landscape-of-nefarious-uses-of-generative-artificial-intelligence-331eec8e5e,Charting the Landscape of Nefarious Uses of Generative Artificial Intelligence for Online Election Interference,2024,Important,"AI Safety, Influence Operations, and Societal Risk",Influence operations and persuasion risk,14,downloaded,https://arxiv.org/pdf/2406.01862,data/paper_cache/downloads/charting-the-landscape-of-nefarious-uses-of-generative-artificial-intelligence-331eec8e5e.pdf,pdf,449808,arxiv,,,https://www.semanticscholar.org/paper/4af68a3cc8871dfe6fe68f91b93cfd17d81076f7,10.48550/arXiv.2406.01862,2406.01862
chatgpt-4-outperforms-experts-and-crowd-workers-in-annotating-political-27a4fadfa8,ChatGPT-4 Outperforms Experts and Crowd Workers in Annotating Political Twitter Messages with Zero-Shot Learning,2023,Important,"Politics, Democracy, Public Opinion, and Persuasion","Public opinion, polling, and political annotation",206,downloaded,https://arxiv.org/pdf/2304.06588,data/paper_cache/downloads/chatgpt-4-outperforms-experts-and-crowd-workers-in-annotating-political-27a4fadfa8.pdf,pdf,439459,arxiv,,,https://www.semanticscholar.org/paper/6354f2639d07bf8d5b08a4dcaef4c5db5fe19fdb,10.48550/arXiv.2304.06588,2304.06588
chbench-a-cognitive-hierarchy-benchmark-for-evaluating-strategic-reasoning-capab-3ac452dfac,CHBench: A Cognitive Hierarchy Benchmark for Evaluating Strategic Reasoning Capability of LLMs,2025,Curated,"Strategic Reasoning, Games, Negotiation, and Cooperation",Behavioral game tests and human-like strategy,0,downloaded,https://arxiv.org/pdf/2508.11944,data/paper_cache/downloads/chbench-a-cognitive-hierarchy-benchmark-for-evaluating-strategic-reasoning-capab-3ac452dfac.pdf,pdf,10329131,arxiv,,,https://www.semanticscholar.org/paper/725ed79fec13105030620d8b4a5cf28cb078556b,10.48550/arXiv.2508.11944,2508.11944
clausewitzgpt-framework-a-new-frontier-in-theoretical-large-language-model-41e0cbeafc,ClausewitzGPT Framework: A New Frontier in Theoretical Large Language Model Enhanced Information Operations,2023,Curated,"AI Safety, Influence Operations, and Societal Risk",Influence operations and persuasion risk,2,downloaded,https://arxiv.org/pdf/2310.07099,data/paper_cache/downloads/clausewitzgpt-framework-a-new-frontier-in-theoretical-large-language-model-41e0cbeafc.pdf,pdf,893643,arxiv,,,https://www.semanticscholar.org/paper/78669b20325d4089040479803e677cd47203e393,10.48550/arXiv.2310.07099,2310.07099
coa-gpt-generative-pre-trained-transformers-for-accelerated-course-of-420e1e099f,COA-GPT: Generative Pre-Trained Transformers for Accelerated Course of Action Development in Military Operations,2024,Curated,"Geopolitics, Diplomacy, National Security, and Wargaming",Military decision-making and wargaming,28,downloaded,https://arxiv.org/pdf/2402.01786,data/paper_cache/downloads/coa-gpt-generative-pre-trained-transformers-for-accelerated-course-of-420e1e099f.pdf,pdf,16895007,arxiv,,,https://www.semanticscholar.org/paper/a1b7eb8f067eff50e726555d1e69cbd6a0b0fea0,10.1109/ICMCIS61231.2024.10540749,2402.01786
coding-with-the-machines-machine-assisted-coding-of-rare-event-6bc1130941,Coding with the machines: machine-assisted coding of rare event data,2024,Curated,Classical Political NLP and Information Extraction,Political event data and conflict information extraction,5,manual_needed,,,,0,,semantic_scholar_lookup_failed: HTTP Error 429:,data/paper_cache/manual/coding-with-the-machines-machine-assisted-coding-of-rare-event-6bc1130941.pdf,https://www.semanticscholar.org/paper/a92f37aa991a60147f51ffdd24e86bd6c011370c,10.1093/pnasnexus/pgae165,
communication-enhances-llms-stability-in-strategic-thinking-95e593c925,Communication Enhances LLMs' Stability in Strategic Thinking,2026,Watchlist,Peripheral and Borderline Materials,Generic negotiation and behavioral games,1,downloaded,https://arxiv.org/pdf/2602.06081,data/paper_cache/downloads/communication-enhances-llms-stability-in-strategic-thinking-95e593c925.pdf,pdf,434301,arxiv,,,https://www.semanticscholar.org/paper/7c087b7ad39fcc85015256295c6cb1ab5ea243cd,10.48550/arXiv.2602.06081,2602.06081
computer-assisted-text-analysis-for-comparative-politics-600297407a,Computer-Assisted Text Analysis for Comparative Politics,2015,Core,Classical Political NLP and Information Extraction,Political text as data and policy-position extraction,464,manual_needed,,,,0,,semantic_scholar_lookup_failed: HTTP Error 429:,data/paper_cache/manual/computer-assisted-text-analysis-for-comparative-politics-600297407a.pdf,https://www.semanticscholar.org/paper/ca1469279ace2e341fd385c884129367e1b7dda7,10.1093/pan/mpu019,
conflibert-a-pre-trained-language-model-for-political-conflict-and-dfe0a1e0f4,ConfliBERT: A Pre-trained Language Model for Political Conflict and Violence,2022,Curated,Classical Political NLP and Information Extraction,Political event data and conflict information extraction,42,downloaded,https://aclanthology.org/2022.naacl-main.400.pdf,data/paper_cache/downloads/conflibert-a-pre-trained-language-model-for-political-conflict-and-dfe0a1e0f4.pdf,pdf,519040,semantic_scholar_open_access_pdf,,,https://www.semanticscholar.org/paper/9b05db2352c046b3b29bd9bf258cda8895d96d31,10.18653/v1/2022.naacl-main.400,
conflict-and-mediation-event-observations-cameo-a-new-event-data-f3a3e155e9,Conflict and Mediation Event Observations (CAMEO): A New Event Data Framework for the Analysis of Foreign Policy Interactions,2002,Core,Classical Political NLP and Information Extraction,Political event data and conflict information extraction,189,manual_needed,,,,0,,semantic_scholar_lookup_failed: HTTP Error 429:,data/paper_cache/manual/conflict-and-mediation-event-observations-cameo-a-new-event-data-f3a3e155e9.pdf,https://www.semanticscholar.org/paper/775d7f7262ffb42972e5b87a245bc4b63c20396d,,
cooperate-or-collapse-emergence-of-sustainable-cooperation-in-a-society-3a94a29f94,Cooperate or Collapse: Emergence of Sustainable Cooperation in a Society of LLM Agents,2024,Watchlist,Peripheral and Borderline Materials,Generic negotiation and behavioral games,87,downloaded,https://arxiv.org/pdf/2404.16698,data/paper_cache/downloads/cooperate-or-collapse-emergence-of-sustainable-cooperation-in-a-society-3a94a29f94.pdf,pdf,1546732,arxiv,,,https://www.semanticscholar.org/paper/7b508f5a3168e2ecfcb821752dcae576905a50c5,10.52202/079017-3548,2404.16698
creating-a-real-time-reproducible-event-dataset-68306d1107,"Creating a Real-Time, Reproducible Event Dataset",2016,Important,Classical Political NLP and Information Extraction,Political event data and conflict information extraction,5,downloaded,https://arxiv.org/pdf/1612.00866,data/paper_cache/downloads/creating-a-real-time-reproducible-event-dataset-68306d1107.pdf,pdf,1124288,arxiv,,,https://www.semanticscholar.org/paper/680ef0b7b3e0a415a29ca28e4bb40dad220ad69e,,1612.00866
creating-custom-event-data-without-dictionaries-a-bag-of-tricks-519b8735fc,Creating Custom Event Data Without Dictionaries: A Bag-of-Tricks,2023,Important,Classical Political NLP and Information Extraction,Political event data and conflict information extraction,9,downloaded,https://arxiv.org/pdf/2304.01331,data/paper_cache/downloads/creating-custom-event-data-without-dictionaries-a-bag-of-tricks-519b8735fc.pdf,pdf,1488297,arxiv,,,https://www.semanticscholar.org/paper/3a8d5ee46951eda62e38ca4d9b364de5387d8be4,10.48550/arXiv.2304.01331,2304.01331
critical-foreign-policy-decisions-benchmark-measuring-diplomatic-preferences-in--09c2e4b18d,Critical Foreign Policy Decisions Benchmark: Measuring Diplomatic Preferences in Large Language Models,2025,Important,"Geopolitics, Diplomacy, National Security, and Wargaming",Diplomacy and international institutions,4,downloaded,https://arxiv.org/pdf/2503.06263,data/paper_cache/downloads/critical-foreign-policy-decisions-benchmark-measuring-diplomatic-preferences-in--09c2e4b18d.pdf,pdf,4910289,arxiv,,,https://arxiv.org/abs/2503.06263,10.48550/arXiv.2503.06263,2503.06263
crowdsourced-versus-large-language-models-forecasting-evidence-for-the-accuracy-552c6ee4b2,Crowdsourced versus large language models forecasting: evidence for the accuracy–correlation effect,2026,Curated,"Forecasting, Geopolitical Risk, and Foresight",Forecasting performance and aggregation,1,manual_needed,,,,0,,semantic_scholar_lookup_failed: HTTP Error 429:,data/paper_cache/manual/crowdsourced-versus-large-language-models-forecasting-evidence-for-the-accuracy-552c6ee4b2.pdf,https://www.semanticscholar.org/paper/6c82a21f4e814d2650a6aaf34a5a7576df874327,10.1098/rstb.2024.0456,
cultural-bias-and-cultural-alignment-of-large-language-models-6ce8191637,Cultural bias and cultural alignment of large language models,2023,Important,"Politics, Democracy, Public Opinion, and Persuasion","Political ideology, representation, and bias",307,downloaded,https://arxiv.org/pdf/2311.14096,data/paper_cache/downloads/cultural-bias-and-cultural-alignment-of-large-language-models-6ce8191637.pdf,pdf,772234,arxiv,,,https://www.semanticscholar.org/paper/5f8bf881c80125452e4a73ad51fdb2c72c65c551,10.1093/pnasnexus/pgae346,2311.14096
cultural-evolution-of-cooperation-among-llm-agents-7a54cc3112,Cultural Evolution of Cooperation among LLM Agents,2024,Watchlist,Peripheral and Borderline Materials,Generic negotiation and behavioral games,26,downloaded,https://arxiv.org/pdf/2412.10270,data/paper_cache/downloads/cultural-evolution-of-cooperation-among-llm-agents-7a54cc3112.pdf,pdf,1575932,arxiv,,,https://www.semanticscholar.org/paper/f6f6535192427abdc122c1d74b1efdb5624da4f0,10.48550/arXiv.2412.10270,2412.10270
datagovbench-benchmarking-llm-agents-for-real-world-data-governance-workflows-49d98676a5,DataGovBench: Benchmarking LLM Agents for Real-World Data Governance Workflows,2025,Watchlist,Peripheral and Borderline Materials,Generic decision support and human-AI workflow,2,downloaded,https://arxiv.org/pdf/2512.04416,data/paper_cache/downloads/datagovbench-benchmarking-llm-agents-for-real-world-data-governance-workflows-49d98676a5.pdf,pdf,5967156,arxiv,,,https://www.semanticscholar.org/paper/fb2bdc51f56275a6c010dcee066fee2f4ff2f951,10.48550/arXiv.2512.04416,2512.04416
decision-making-under-deep-uncertainty-from-theory-to-practice-063116b449,Decision Making under Deep Uncertainty: From Theory to Practice,2019,Curated,Political Science and Strategic Judgment Foundations,Policy analysis and decision-making under deep uncertainty,295,manual_needed,,,,0,,semantic_scholar_lookup_failed: HTTP Error 429:,data/paper_cache/manual/decision-making-under-deep-uncertainty-from-theory-to-practice-063116b449.pdf,https://www.semanticscholar.org/paper/82ad55fe8d7e7c9b66575e048fbad1767f09b2bb,,
decision-making-behavior-evaluation-framework-for-llms-under-uncertain-context-faa650e80e,Decision-Making Behavior Evaluation Framework for LLMs under Uncertain Context,2024,Watchlist,Peripheral and Borderline Materials,Generic negotiation and behavioral games,53,downloaded,https://arxiv.org/pdf/2406.05972,data/paper_cache/downloads/decision-making-behavior-evaluation-framework-for-llms-under-uncertain-context-faa650e80e.pdf,pdf,1636176,arxiv,,,https://www.semanticscholar.org/paper/a5a3dd4af6e754ac82670751f6789c389e91d533,10.48550/arXiv.2406.05972,2406.05972
decoding-echo-chambers-llm-powered-simulations-revealing-polarization-in-social-ff787f49bf,Decoding Echo Chambers: LLM-Powered Simulations Revealing Polarization in Social Networks,2024,Curated,Multi-Agent Social Simulation and Synthetic Societies,"Social networks, movements, and polarization",32,downloaded,https://arxiv.org/pdf/2409.19338,data/paper_cache/downloads/decoding-echo-chambers-llm-powered-simulations-revealing-polarization-in-social-ff787f49bf.pdf,pdf,1732218,arxiv,,,https://www.semanticscholar.org/paper/ddde6399e0c9bae504f1f80d47feff6cacbcec64,10.48550/arXiv.2409.19338,2409.19338
deliberationbench-a-normative-benchmark-for-the-influence-of-large-language-c176967fca,DeliberationBench: A Normative Benchmark for the Influence of Large Language Models on Users'Views,2026,Important,"Policymaking, Governance, and Institutional Decision Support",Policy persuasion and democratic deliberation,2,downloaded,https://arxiv.org/pdf/2603.10018,data/paper_cache/downloads/deliberationbench-a-normative-benchmark-for-the-influence-of-large-language-c176967fca.pdf,pdf,1608582,arxiv,,,https://www.semanticscholar.org/paper/c6ab228fd5f44cb3ec05705752f1135a15877387,,2603.10018
democracy-and-coercive-diplomacy-94c4b2aee6,Democracy and Coercive Diplomacy,2001,Important,Political Science and Strategic Judgment Foundations,"Bargaining, signaling, and war",579,manual_needed,,,,0,,semantic_scholar_lookup_failed: HTTP Error 429:,data/paper_cache/manual/democracy-and-coercive-diplomacy-94c4b2aee6.pdf,https://www.semanticscholar.org/paper/ae16fef14ee8088ee77a9e3008dfae6d1c496d9a,10.1017/CBO9780511491658.002,
democracy-in-silico-institutional-design-as-alignment-in-ai-governed-b642e44877,Democracy-in-Silico: Institutional Design as Alignment in AI-Governed Polities,2025,Watchlist,"Policymaking, Governance, and Institutional Decision Support",Democratic governance and augmentation,0,downloaded,https://arxiv.org/pdf/2508.19562,data/paper_cache/downloads/democracy-in-silico-institutional-design-as-alignment-in-ai-governed-b642e44877.pdf,pdf,292687,arxiv,,,https://www.semanticscholar.org/paper/987f6999013e8732d63563150e91daedce8bede2,10.48550/arXiv.2508.19562,2508.19562
democratic-or-authoritarian-probing-a-new-dimension-of-political-biases-f63183233d,Democratic or Authoritarian? Probing a New Dimension of Political Biases in Large Language Models,2025,Important,"Politics, Democracy, Public Opinion, and Persuasion",Multilingual and geopolitical bias,5,downloaded,https://arxiv.org/pdf/2506.12758,data/paper_cache/downloads/democratic-or-authoritarian-probing-a-new-dimension-of-political-biases-f63183233d.pdf,pdf,5551025,arxiv,,,https://www.semanticscholar.org/paper/e97107eede375d1eb0dfc540e3c0753a5b35b18d,10.48550/arXiv.2506.12758,2506.12758
democratizing-diplomacy-a-harness-for-evaluating-any-large-language-model-3ca6cc3b78,Democratizing Diplomacy: A Harness for Evaluating Any Large Language Model on Full-Press Diplomacy,2025,Important,"Geopolitics, Diplomacy, National Security, and Wargaming",Diplomacy and international institutions,3,downloaded,https://arxiv.org/pdf/2508.07485,data/paper_cache/downloads/democratizing-diplomacy-a-harness-for-evaluating-any-large-language-model-3ca6cc3b78.pdf,pdf,4428672,arxiv,,,https://www.semanticscholar.org/paper/de50adf51dc109bb44e52d63490e7322ba50b1d7,10.48550/arXiv.2508.07485,2508.07485
demonstrations-of-the-potential-of-ai-based-political-issue-polling-5ef2576b6a,Demonstrations of the Potential of AI-based Political Issue Polling,2023,Curated,"Politics, Democracy, Public Opinion, and Persuasion","Public opinion, polling, and political annotation",31,downloaded,https://arxiv.org/pdf/2307.04781,data/paper_cache/downloads/demonstrations-of-the-potential-of-ai-based-political-issue-polling-5ef2576b6a.pdf,pdf,784733,arxiv,,,https://www.semanticscholar.org/paper/407a8d6227ece351d9870f96576d4c287a746166,10.48550/arXiv.2307.04781,2307.04781
determinants-of-llm-assisted-decision-making-c02ef68f72,Determinants of LLM-assisted Decision-Making,2024,Watchlist,Peripheral and Borderline Materials,Generic decision support and human-AI workflow,108,downloaded,https://arxiv.org/pdf/2402.17385,data/paper_cache/downloads/determinants-of-llm-assisted-decision-making-c02ef68f72.pdf,pdf,1555705,arxiv,,,https://www.semanticscholar.org/paper/550676250271276becf5a400f072241daf734f4f,10.48550/arXiv.2402.17385,2402.17385
digital-homunculi-and-institutional-design-breaking-through-the-experimentation--fc12dfe459,Digital Homunculi and Institutional Design: Breaking Through the Experimentation Bottleneck,2024,Watchlist,"Policymaking, Governance, and Institutional Decision Support",Democratic governance and augmentation,0,downloaded,https://arxiv.org/pdf/2409.00826,data/paper_cache/downloads/digital-homunculi-and-institutional-design-breaking-through-the-experimentation--fc12dfe459.pdf,pdf,498290,arxiv,,,https://www.semanticscholar.org/paper/ad416524ff9ec736dde1c95b31a72b48c9cce5ab,,2409.00826
dipllm-fine-tuning-llm-for-strategic-decision-making-in-diplomacy-2c4e614de4,DipLLM: Fine-Tuning LLM for Strategic Decision-making in Diplomacy,2025,Curated,"Geopolitics, Diplomacy, National Security, and Wargaming",Diplomacy and international institutions,6,downloaded,https://arxiv.org/pdf/2506.09655,data/paper_cache/downloads/dipllm-fine-tuning-llm-for-strategic-decision-making-in-diplomacy-2c4e614de4.pdf,pdf,4580867,arxiv,,,https://www.semanticscholar.org/paper/81e0f65ab7e9bf411ee7d96b287f11f1db1b1624,10.48550/arXiv.2506.09655,2506.09655
diplomacyagent-do-llms-balance-interests-and-ethical-principles-in-international-3f849b23a3,DiplomacyAgent: Do LLMs Balance Interests and Ethical Principles in International Events?,2025,Curated,"Geopolitics, Diplomacy, National Security, and Wargaming",Diplomacy and international institutions,4,manual_needed,,,,0,,,data/paper_cache/manual/diplomacyagent-do-llms-balance-interests-and-ethical-principles-in-international-3f849b23a3.pdf,https://www.semanticscholar.org/paper/042527cf922c53bcaa831699276205a110c42fbb,10.18653/v1/2025.emnlp-main.693,
diversity-and-language-technology-how-language-modeling-bias-causes-epistemic-e55e368751,Diversity and language technology: how language modeling bias causes epistemic injustice,2024,Watchlist,Peripheral and Borderline Materials,Generic AI safety and language-bias background,76,manual_needed,,,,0,,semantic_scholar_lookup_failed: HTTP Error 429:,data/paper_cache/manual/diversity-and-language-technology-how-language-modeling-bias-causes-epistemic-e55e368751.pdf,https://www.semanticscholar.org/paper/5ce8f0e5abcf9e62d73e4b0bda56b2224ea1b712,10.1007/s10676-023-09742-6,
do-bots-do-it-better-analyzing-the-effectiveness-of-automated-7d687de8db,Do Bots Do It Better? Analyzing the Effectiveness of Automated Agents in State-Sponsored Information Operations,2025,Important,"AI Safety, Influence Operations, and Societal Risk",Influence operations and persuasion risk,0,manual_needed,,,,0,,,data/paper_cache/manual/do-bots-do-it-better-analyzing-the-effectiveness-of-automated-7d687de8db.pdf,https://www.semanticscholar.org/paper/66d045db96c75b6162c28f47e7afdda323307926,10.1609/icwsm.v19i1.35888,
do-language-models-update-their-forecasts-with-new-information-ff0bee53ad,Do Language Models Update their Forecasts with New Information?,2025,Watchlist,"Forecasting, Geopolitical Risk, and Foresight",Forecasting performance and aggregation,0,downloaded,https://arxiv.org/pdf/2509.23936,data/paper_cache/downloads/do-language-models-update-their-forecasts-with-new-information-ff0bee53ad.pdf,pdf,1010650,arxiv,,,https://www.semanticscholar.org/paper/eb24c93d4efa0d9fb6c7823ae0adf61a6d025208,,2509.23936
do-large-language-models-know-conflict-investigating-parametric-vs-non-00b92dde4a,Do Large Language Models Know Conflict? Investigating Parametric vs. Non-Parametric Knowledge of LLMs for Conflict Forecasting,2025,Curated,"Geopolitics, Diplomacy, National Security, and Wargaming","Conflict, escalation, and geopolitical simulation",2,downloaded,https://arxiv.org/pdf/2505.09852,data/paper_cache/downloads/do-large-language-models-know-conflict-investigating-parametric-vs-non-00b92dde4a.pdf,pdf,140057,arxiv,,,https://www.semanticscholar.org/paper/e6f29dbbebaa8ce2c2da9581781aa03a58b4ed28,10.48550/arXiv.2505.09852,2505.09852
do-we-still-need-people-comparing-human-and-llm-personas-983c155c01,Do we Still Need People? Comparing Human and LLM Personas in Political Modeling and Simulation,2025,Curated,Multi-Agent Social Simulation and Synthetic Societies,Synthetic populations and human samples,1,manual_needed,,,,0,,,data/paper_cache/manual/do-we-still-need-people-comparing-human-and-llm-personas-983c155c01.pdf,https://www.semanticscholar.org/paper/0786bcdbaca4f7c15870a5b54d56e76b2ff7a0dc,10.1109/MODELS-C68889.2025.00074,
domestic-political-audiences-and-the-escalation-of-international-disputes-fb70efa089,Domestic Political Audiences and the Escalation of International Disputes,1994,Important,Political Science and Strategic Judgment Foundations,"Bargaining, signaling, and war",2205,manual_needed,,,,0,,semantic_scholar_lookup_failed: HTTP Error 429:,data/paper_cache/manual/domestic-political-audiences-and-the-escalation-of-international-disputes-fb70efa089.pdf,https://www.semanticscholar.org/paper/f1de5d9f3a4f0282aff7363f30b652797f2f5d95,10.2307/2944796,
donald-trumps-in-the-virtual-polls-simulating-and-predicting-public-33957091e2,Donald Trumps in the Virtual Polls: Simulating and Predicting Public Opinions in Surveys Using Large Language Models,2024,Curated,Multi-Agent Social Simulation and Synthetic Societies,Synthetic populations and human samples,11,downloaded,https://arxiv.org/pdf/2411.01582,data/paper_cache/downloads/donald-trumps-in-the-virtual-polls-simulating-and-predicting-public-33957091e2.pdf,pdf,991181,arxiv,,,https://www.semanticscholar.org/paper/5e49b644c514cc326dcc94d285961914570bf0cd,,2411.01582
echoes-of-power-investigating-geopolitical-bias-in-us-and-china-a1b5910bba,Echoes of Power: Investigating Geopolitical Bias in US and China Large Language Models,2025,Curated,"Politics, Democracy, Public Opinion, and Persuasion",Multilingual and geopolitical bias,5,downloaded,https://arxiv.org/pdf/2503.16679,data/paper_cache/downloads/echoes-of-power-investigating-geopolitical-bias-in-us-and-china-a1b5910bba.pdf,pdf,1020234,arxiv,,,https://www.semanticscholar.org/paper/a0a77a0d66e213c6014aefb8f9a0705aed0da1f5,10.48550/arXiv.2503.16679,2503.16679
effective-and-responsible-use-of-large-language-models-in-strategic-77c990a9b5,Effective and responsible use of large language models in strategic wargaming,2026,Curated,"Geopolitics, Diplomacy, National Security, and Wargaming",Military decision-making and wargaming,0,manual_needed,,,,0,,semantic_scholar_lookup_failed: HTTP Error 429:,data/paper_cache/manual/effective-and-responsible-use-of-large-language-models-in-strategic-77c990a9b5.pdf,https://www.semanticscholar.org/paper/af91a7279ff3496824ac33e9088a780fa1192d5f,10.1177/15485129261438519,
electionsim-massive-population-election-simulation-powered-by-large-language-mod-5c0111ada4,ElectionSim: Massive Population Election Simulation Powered by Large Language Model Driven Agents,2024,Curated,"Politics, Democracy, Public Opinion, and Persuasion","Elections, voters, and campaign discourse",37,downloaded,https://arxiv.org/pdf/2410.20746,data/paper_cache/downloads/electionsim-massive-population-election-simulation-powered-by-large-language-mod-5c0111ada4.pdf,pdf,6321733,arxiv,,,https://www.semanticscholar.org/paper/57494e9f4eadbcdcd0dd4a6ba5c182dc64c0511d,10.48550/arXiv.2410.20746,2410.20746
emergence-of-human-like-polarization-among-large-language-model-agents-cee325e3cb,Emergence of human-like polarization among large language model agents,2025,Curated,Multi-Agent Social Simulation and Synthetic Societies,"Social networks, movements, and polarization",23,downloaded,https://arxiv.org/pdf/2501.05171,data/paper_cache/downloads/emergence-of-human-like-polarization-among-large-language-model-agents-cee325e3cb.pdf,pdf,33599212,arxiv,,,https://www.semanticscholar.org/paper/61d18f878dcd6ee9af171e45e763af114e6eced4,10.48550/arXiv.2501.05171,2501.05171
escalation-risks-from-language-models-in-military-and-diplomatic-decision-dc636af50f,Escalation Risks from Language Models in Military and Diplomatic Decision-Making,2024,Core,"Geopolitics, Diplomacy, National Security, and Wargaming",Military decision-making and wargaming,85,downloaded,https://arxiv.org/pdf/2401.03408,data/paper_cache/downloads/escalation-risks-from-language-models-in-military-and-diplomatic-decision-dc636af50f.pdf,pdf,3611788,arxiv,,,https://arxiv.org/abs/2401.03408,10.1145/3630106.3658942,2401.03408
essence-of-decision-explaining-the-cuban-missile-crisis-e4479703f6,Essence of Decision: Explaining the Cuban Missile Crisis,1971,Core,Political Science and Strategic Judgment Foundations,Intelligence analysis and structured analytic techniques,3145,manual_needed,,,,0,,semantic_scholar_lookup_failed: HTTP Error 429:,data/paper_cache/manual/essence-of-decision-explaining-the-cuban-missile-crisis-e4479703f6.pdf,https://www.semanticscholar.org/paper/fac3a8649c09224e1167a6ea403886f99899133d,10.2307/446741,
evaluating-escalation-conceptualizing-escalation-in-an-era-of-emerging-military-aac5ea190b,Evaluating Escalation: Conceptualizing Escalation in an Era of Emerging Military Technologies,2023,Curated,Political Science and Strategic Judgment Foundations,"International politics, intelligence, and crisis judgment",19,manual_needed,,,,0,,semantic_scholar_lookup_failed: HTTP Error 429:,data/paper_cache/manual/evaluating-escalation-conceptualizing-escalation-in-an-era-of-emerging-military-aac5ea190b.pdf,https://www.semanticscholar.org/paper/d2c9d39b2773231954b20b9a884d2b323d8402d9,10.1086/723974,
evaluating-llms-on-real-world-forecasting-against-expert-forecasters-cf3818adfc,Evaluating LLMs on Real-World Forecasting Against Expert Forecasters,2025,Curated,"Forecasting, Geopolitical Risk, and Foresight",Forecasting performance and aggregation,2,downloaded,https://arxiv.org/pdf/2507.04562,data/paper_cache/downloads/evaluating-llms-on-real-world-forecasting-against-expert-forecasters-cf3818adfc.pdf,pdf,1578552,arxiv,,,https://www.semanticscholar.org/paper/1716271fd5d30cb017515309f5db0330a8944755,,2507.04562
evaluating-the-persuasive-influence-of-political-microtargeting-with-large-langu-2cf83b7e3e,Evaluating the persuasive influence of political microtargeting with large language models,2024,Important,"AI Safety, Influence Operations, and Societal Risk",Influence operations and persuasion risk,116,manual_needed,,,,0,,semantic_scholar_open_access_pdf: HTTP Error 403: Forbidden,data/paper_cache/manual/evaluating-the-persuasive-influence-of-political-microtargeting-with-large-langu-2cf83b7e3e.pdf,https://www.semanticscholar.org/paper/de9a0af5100600ff21a9ded6e42409e0de89de8a,10.1073/pnas.2403116121,
expert-political-judgment-how-good-is-it-how-can-we-f972cd5acb,Expert Political Judgment: How Good Is It? How Can We Know?,2007,Core,Political Science and Strategic Judgment Foundations,"Forecasting, hindsight bias, and expert judgment",382,manual_needed,,,,0,,semantic_scholar_lookup_failed: HTTP Error 429:,data/paper_cache/manual/expert-political-judgment-how-good-is-it-how-can-we-f972cd5acb.pdf,https://www.semanticscholar.org/paper/adb3753db12988a3269c4b0e7ec42db87ff61e5e,10.1017/S1537592707070272,
exploring-large-language-models-for-communication-games-an-empirical-study-de28d4878c,Exploring Large Language Models for Communication Games: An Empirical Study on Werewolf,2023,Watchlist,Peripheral and Borderline Materials,Generic negotiation and behavioral games,287,downloaded,https://arxiv.org/pdf/2309.04658,data/paper_cache/downloads/exploring-large-language-models-for-communication-games-an-empirical-study-de28d4878c.pdf,pdf,2991908,arxiv,,,https://www.semanticscholar.org/paper/24d52678c887331b9da0368e8a2f58bec07f7203,10.48550/arXiv.2309.04658,2309.04658
exploring-the-bargaining-model-of-war-8d3cb58a99,Exploring the Bargaining Model of War,2003,Important,Political Science and Strategic Judgment Foundations,"Bargaining, signaling, and war",342,manual_needed,,,,0,,semantic_scholar_lookup_failed: HTTP Error 429:,data/paper_cache/manual/exploring-the-bargaining-model-of-war-8d3cb58a99.pdf,https://www.semanticscholar.org/paper/f6f4f629792c070f050d28e30e84d5770e1735f1,10.1017/S1537592703000033,
exposing-influence-campaigns-in-the-age-of-llms-a-behavioral-051f313c3a,Exposing influence campaigns in the age of LLMs: a behavioral-based AI approach to detecting state-sponsored trolls,2022,Curated,"AI Safety, Influence Operations, and Societal Risk",Influence operations and persuasion risk,27,downloaded,https://arxiv.org/pdf/2210.08786,data/paper_cache/downloads/exposing-influence-campaigns-in-the-age-of-llms-a-behavioral-051f313c3a.pdf,pdf,882576,arxiv,,,https://www.semanticscholar.org/paper/4802bfb162be70873689bd1c3a04a542ea01a8f3,10.1140/epjds/s13688-023-00423-4,2210.08786
extracting-policy-positions-from-political-texts-using-words-as-data-0ce07e38d2,Extracting Policy Positions from Political Texts Using Words as Data,2003,Core,Classical Political NLP and Information Extraction,Political text as data and policy-position extraction,1353,manual_needed,,,,0,,semantic_scholar_lookup_failed: HTTP Error 429:,data/paper_cache/manual/extracting-policy-positions-from-political-texts-using-words-as-data-0ce07e38d2.pdf,https://www.semanticscholar.org/paper/7d9cc63dfbd34acf271e3a2c922ea1c07fb2f482,10.1017/S0003055403000698,
